File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Tibia of G3_43.jpg,4.60E+00,1.34E+00,2.99E-01,3.39E+00,2.53E-01,1.55E+00,Grade 3
Medial Tibia of G3_44.jpg,5.54E+00,1.34E+00,-3.80E-01,3.11E+00,2.55E-01,1.54E+00,Grade 3
Medial Tibia of G3_5.jpg,4.73E+00,1.30E+00,-1.69E-01,2.82E+00,2.46E-01,1.54E+00,Grade 3
Medial Tibia of G3_6.jpg,5.12E+00,1.28E+00,2.13E-02,2.99E+00,2.48E-01,1.54E+00,Grade 3
Medial Tibia of G3_7.jpg,4.88E+00,1.02E+00,-8.19E-02,2.95E+00,2.77E-01,1.43E+00,Grade 3
Medial Tibia of G3_8.jpg,3.33E+00,7.41E-01,1.25E+00,8.98E+00,3.71E-01,1.19E+00,Grade 3
Medial Tibia of G3_9.jpg,3.79E+00,7.85E-01,6.09E-01,4.24E+00,3.35E-01,1.27E+00,Grade 3
Medial Tibia of G4_1.jpg,4.90E+00,1.31E+00,1.56E-01,2.88E+00,2.45E-01,1.55E+00,Grade 4
Medial Tibia of G4_2.jpg,5.14E+00,1.13E+00,-4.02E-03,2.97E+00,2.66E-01,1.48E+00,Grade 4
Medial Tibia of G4_3.jpg,4.34E+00,1.28E+00,2.07E-01,2.92E+00,2.49E-01,1.54E+00,Grade 4
Medial Tibia of G4_4.jpg,4.74E+00,1.05E+00,7.03E-02,3.19E+00,2.79E-01,1.44E+00,Grade 4
Medial Tibia of G4_5.jpg,5.14E+00,1.19E+00,-1.95E-03,2.90E+00,2.57E-01,1.51E+00,Grade 4
Medial Tibia of G4_6.jpg,5.09E+00,1.77E+00,2.77E-02,2.93E+00,2.14E-01,1.70E+00,Grade 4
Medial Tibia of G4_7.jpg,3.93E+00,9.04E-01,6.61E-01,4.18E+00,3.17E-01,1.34E+00,Grade 4
Medial Tibia of G4_8.jpg,3.94E+00,9.46E-01,4.83E-01,3.93E+00,3.06E-01,1.37E+00,Grade 4
Medial Tibia of Nor_1.jpg,4.88E+00,1.92E+00,1.76E-02,2.56E+00,1.99E-01,1.73E+00,Normal
Medial Tibia of Nor_10.jpg,5.33E+00,1.25E+00,-1.34E-01,2.96E+00,2.52E-01,1.53E+00,Normal
Medial Tibia of Nor_11.jpg,4.67E+00,1.01E+00,1.31E-01,3.11E+00,2.83E-01,1.42E+00,Normal
Medial Tibia of Nor_12.jpg,3.75E+00,6.89E-01,7.26E-02,3.55E+00,3.46E-01,1.23E+00,Normal
Medial Tibia of Nor_13.jpg,5.67E+00,1.20E+00,-2.02E-01,3.25E+00,2.63E-01,1.50E+00,Normal
Medial Tibia of Nor_14.jpg,4.50E+00,1.49E+00,1.57E-01,2.84E+00,2.30E-01,1.61E+00,Normal
Medial Tibia of Nor_15.jpg,5.19E+00,1.36E+00,-7.48E-02,2.71E+00,2.38E-01,1.57E+00,Normal
Medial Tibia of Nor_16.jpg,5.01E+00,1.50E+00,5.15E-02,3.04E+00,2.32E-01,1.62E+00,Normal
Medial Tibia of Nor_17.jpg,4.96E+00,1.41E+00,4.71E-02,2.81E+00,2.34E-01,1.59E+00,Normal
Medial Tibia of Nor_18.jpg,5.27E+00,1.59E+00,-3.64E-01,3.34E+00,2.36E-01,1.63E+00,Normal
Medial Tibia of Nor_19.jpg,5.11E+00,1.35E+00,-1.27E-01,3.09E+00,2.44E-01,1.57E+00,Normal
Medial Tibia of Nor_2.jpg,4.55E+00,9.15E-01,9.79E-02,3.03E+00,2.95E-01,1.37E+00,Normal
Medial Tibia of Nor_20.jpg,4.82E+00,8.65E-01,1.61E-01,3.59E+00,3.13E-01,1.34E+00,Normal
Medial Tibia of Nor_21.jpg,4.62E+00,1.14E+00,2.71E-01,3.17E+00,2.69E-01,1.48E+00,Normal
Medial Tibia of Nor_22.jpg,5.11E+00,1.15E+00,1.53E-02,3.04E+00,2.63E-01,1.49E+00,Normal
Medial Tibia of Nor_23.jpg,4.93E+00,1.65E+00,-4.84E-02,2.51E+00,2.13E-01,1.66E+00,Normal
Medial Tibia of Nor_24.jpg,4.38E+00,1.13E+00,5.91E-02,3.18E+00,2.67E-01,1.47E+00,Normal
Medial Tibia of Nor_25.jpg,5.01E+00,1.80E+00,1.66E-01,2.60E+00,2.06E-01,1.70E+00,Normal
Medial Tibia of Nor_26.jpg,4.53E+00,1.23E+00,3.46E-01,3.44E+00,2.62E-01,1.51E+00,Normal
Medial Tibia of Nor_27.jpg,4.23E+00,9.98E-01,2.87E-01,3.63E+00,2.89E-01,1.41E+00,Normal
Medial Tibia of Nor_28.jpg,4.80E+00,1.26E+00,-3.14E-02,2.78E+00,2.48E-01,1.53E+00,Normal
Medial Tibia of Nor_29.jpg,4.59E+00,1.26E+00,-5.57E-02,2.80E+00,2.48E-01,1.53E+00,Normal
Medial Tibia of Nor_3.jpg,4.90E+00,1.24E+00,1.04E-01,3.27E+00,2.63E-01,1.52E+00,Normal
Medial Tibia of Nor_30.jpg,4.52E+00,1.64E+00,2.18E-01,2.78E+00,2.19E-01,1.66E+00,Normal
Medial Tibia of Nor_31.jpg,5.14E+00,1.62E+00,-1.38E-02,2.74E+00,2.18E-01,1.66E+00,Normal
Medial Tibia of Nor_32.jpg,5.53E+00,1.21E+00,-2.06E-01,2.94E+00,2.55E-01,1.51E+00,Normal
Medial Tibia of Nor_33.jpg,4.14E+00,1.04E+00,1.00E-01,3.02E+00,2.75E-01,1.44E+00,Normal
Medial Tibia of Nor_34.jpg,4.73E+00,1.65E+00,2.18E-01,2.67E+00,2.18E-01,1.65E+00,Normal
Medial Tibia of Nor_35.jpg,4.76E+00,1.40E+00,3.31E-01,3.25E+00,2.49E-01,1.57E+00,Normal
Medial Tibia of Nor_36.jpg,5.27E+00,1.33E+00,-2.27E-01,2.95E+00,2.46E-01,1.55E+00,Normal
Medial Tibia of Nor_37.jpg,4.84E+00,1.62E+00,8.28E-02,2.67E+00,2.17E-01,1.65E+00,Normal
Medial Tibia of Nor_38.jpg,4.86E+00,1.25E+00,2.39E-01,3.20E+00,2.57E-01,1.52E+00,Normal
Medial Tibia of Nor_39.jpg,4.28E+00,1.06E+00,3.90E-01,3.59E+00,2.82E-01,1.43E+00,Normal
Medial Tibia of Nor_4.jpg,5.13E+00,1.46E+00,-1.34E-01,2.91E+00,2.33E-01,1.61E+00,Normal
Medial Tibia of Nor_5.jpg,5.05E+00,1.34E+00,6.73E-02,2.98E+00,2.45E-01,1.56E+00,Normal
Medial Tibia of Nor_6.jpg,4.50E+00,1.16E+00,1.63E-01,2.89E+00,2.59E-01,1.49E+00,Normal
Medial Tibia of Nor_7.jpg,5.08E+00,1.31E+00,1.20E-01,3.09E+00,2.48E-01,1.55E+00,Normal
Medial Tibia of Nor_8.jpg,4.91E+00,1.35E+00,2.41E-01,3.09E+00,2.46E-01,1.56E+00,Normal
Medial Tibia of Nor_9.jpg,5.16E+00,1.41E+00,8.02E-02,3.01E+00,2.42E-01,1.59E+00,Normal
