@relation 'LBP_hf Tibia Medial ROI '

@attribute File {'Medial Tibia of Normal_1.jpg','Medial Tibia of Normal_10.jpg','Medial Tibia of Normal_11.jpg','Medial Tibia of Normal_12.jpg','Medial Tibia of Normal_13.jpg','Medial Tibia of Normal_14.jpg','Medial Tibia of Normal_15.jpg','Medial Tibia of Normal_16.jpg','Medial Tibia of Normal_17.jpg','Medial Tibia of Normal_18.jpg','Medial Tibia of Normal_19.jpg','Medial Tibia of Normal_2.jpg','Medial Tibia of Normal_20.jpg','Medial Tibia of Normal_21.jpg','Medial Tibia of Normal_22.jpg','Medial Tibia of Normal_23.jpg','Medial Tibia of Normal_24.jpg','Medial Tibia of Normal_25.jpg','Medial Tibia of Normal_26.jpg','Medial Tibia of Normal_27.jpg','Medial Tibia of Normal_28.jpg','Medial Tibia of Normal_29.jpg','Medial Tibia of Normal_3.jpg','Medial Tibia of Normal_30.jpg','Medial Tibia of Normal_31.jpg','Medial Tibia of Normal_32.jpg','Medial Tibia of Normal_33.jpg','Medial Tibia of Normal_34.jpg','Medial Tibia of Normal_35.jpg','Medial Tibia of Normal_36.jpg','Medial Tibia of Normal_37.jpg','Medial Tibia of Normal_38.jpg','Medial Tibia of Normal_39.jpg','Medial Tibia of Normal_4.jpg','Medial Tibia of Normal_40.jpg','Medial Tibia of Normal_41.jpg','Medial Tibia of Normal_42.jpg','Medial Tibia of Normal_43.jpg','Medial Tibia of Normal_44.jpg','Medial Tibia of Normal_45.jpg','Medial Tibia of Normal_46.jpg','Medial Tibia of Normal_47.jpg','Medial Tibia of Normal_48.jpg','Medial Tibia of Normal_49.jpg','Medial Tibia of Normal_5.jpg','Medial Tibia of Normal_50.jpg','Medial Tibia of Normal_51.jpg','Medial Tibia of Normal_52.jpg','Medial Tibia of Normal_53.jpg','Medial Tibia of Normal_54.jpg','Medial Tibia of Normal_55.jpg','Medial Tibia of Normal_56.jpg','Medial Tibia of Normal_57.jpg','Medial Tibia of Normal_58.jpg','Medial Tibia of Normal_59.jpg','Medial Tibia of Normal_6.jpg','Medial Tibia of Normal_60.jpg','Medial Tibia of Normal_61.jpg','Medial Tibia of Normal_62.jpg','Medial Tibia of Normal_63.jpg','Medial Tibia of Normal_7.jpg','Medial Tibia of Normal_8.jpg','Medial Tibia of Normal_9.jpg','Medial Tibia of OA_1.jpg','Medial Tibia of OA_10.jpg','Medial Tibia of OA_11.jpg','Medial Tibia of OA_12.jpg','Medial Tibia of OA_13.jpg','Medial Tibia of OA_14.jpg','Medial Tibia of OA_15.jpg','Medial Tibia of OA_16.jpg','Medial Tibia of OA_17.jpg','Medial Tibia of OA_18.jpg','Medial Tibia of OA_19.jpg','Medial Tibia of OA_2.jpg','Medial Tibia of OA_20.jpg','Medial Tibia of OA_21.jpg','Medial Tibia of OA_22.jpg','Medial Tibia of OA_23.jpg','Medial Tibia of OA_24.jpg','Medial Tibia of OA_25.jpg','Medial Tibia of OA_26.jpg','Medial Tibia of OA_27.jpg','Medial Tibia of OA_28.jpg','Medial Tibia of OA_29.jpg','Medial Tibia of OA_3.jpg','Medial Tibia of OA_30.jpg','Medial Tibia of OA_31.jpg','Medial Tibia of OA_32.jpg','Medial Tibia of OA_33.jpg','Medial Tibia of OA_34.jpg','Medial Tibia of OA_35.jpg','Medial Tibia of OA_36.jpg','Medial Tibia of OA_37.jpg','Medial Tibia of OA_38.jpg','Medial Tibia of OA_39.jpg','Medial Tibia of OA_4.jpg','Medial Tibia of OA_40.jpg','Medial Tibia of OA_41.jpg','Medial Tibia of OA_42.jpg','Medial Tibia of OA_43.jpg','Medial Tibia of OA_44.jpg','Medial Tibia of OA_45.jpg','Medial Tibia of OA_46.jpg','Medial Tibia of OA_47.jpg','Medial Tibia of OA_48.jpg','Medial Tibia of OA_49.jpg','Medial Tibia of OA_5.jpg','Medial Tibia of OA_50.jpg','Medial Tibia of OA_51.jpg','Medial Tibia of OA_52.jpg','Medial Tibia of OA_53.jpg','Medial Tibia of OA_54.jpg','Medial Tibia of OA_55.jpg','Medial Tibia of OA_56.jpg','Medial Tibia of OA_57.jpg','Medial Tibia of OA_58.jpg','Medial Tibia of OA_59.jpg','Medial Tibia of OA_6.jpg','Medial Tibia of OA_60.jpg','Medial Tibia of OA_61.jpg','Medial Tibia of OA_62.jpg','Medial Tibia of OA_63.jpg','Medial Tibia of OA_64.jpg','Medial Tibia of OA_65.jpg','Medial Tibia of OA_66.jpg','Medial Tibia of OA_67.jpg','Medial Tibia of OA_68.jpg','Medial Tibia of OA_7.jpg','Medial Tibia of OA_8.jpg','Medial Tibia of OA_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {Nor,OA}

@data
'Medial Tibia of Normal_22.jpg',0.0795,0.00446,0.036,0.00506,0.0715,0.0722,0.00296,0.00938,0.00303,0.000204,0.129,0.00396,0.0162,0.00402,0.0406,0.189,0.00545,0.0749,0.00604,0.0386,0.158,0.00484,0.0304,0.00672,0.00112,0.0999,0.00404,0.0146,0.00287,0.00235,0.0771,0.00341,0.0348,0.00459,0.0526,0.042,0.0588,0.0941,Nor
'Medial Tibia of Normal_23.jpg',0.0801,0.00165,0.0366,0.000361,0.0732,0.0614,0.000596,0.00832,0.00324,0.000408,0.133,0.002,0.0205,0.0051,0.045,0.199,0.00591,0.0892,0.0066,0.0425,0.156,0.0075,0.0398,0.00114,0.0145,0.0969,0.00225,0.0116,0.00721,0.000612,0.0738,0.00216,0.0315,0.00185,0.0434,0.0359,0.065,0.0994,Nor
'Medial Tibia of Normal_24.jpg',0.0716,0.00115,0.0372,0.00211,0.0602,0.0703,0.00127,0.0109,0.00349,0.00194,0.132,0.00873,0.0253,0.00397,0.034,0.224,0.00292,0.109,0.00399,0.0696,0.153,0.00328,0.0387,0.0024,0.000204,0.0866,0.000352,0.0163,0.00327,0.00316,0.0742,0.000257,0.0363,0.00284,0.0503,0.0407,0.0538,0.0932,Nor
'Medial Tibia of Normal_25.jpg',0.0821,0.00261,0.044,0.0023,0.0756,0.063,0.00248,0.0133,0.00178,0.00439,0.128,0.00347,0.0212,0.000246,0.0435,0.193,0.0109,0.0861,0.00658,0.0394,0.157,0.00786,0.0418,0.00607,0.0181,0.0964,0.0034,0.0174,0.00209,0.005,0.0835,0.00323,0.0411,0.00236,0.0547,0.039,0.061,0.0978,Nor
'Medial Tibia of Normal_26.jpg',0.0746,0.00103,0.0251,0.000766,0.0658,0.0714,0.00191,0.00578,0.00394,0.00245,0.133,0.00356,0.0238,0.00181,0.0406,0.187,0.00566,0.0711,0.00563,0.0294,0.154,0.00797,0.0319,0.00318,0.0101,0.0988,0.00433,0.00981,0.0038,0.00326,0.0719,0.00203,0.0226,0.00261,0.0434,0.0422,0.0635,0.103,Nor
'Medial Tibia of Normal_27.jpg',0.0792,0.00279,0.0268,0.00279,0.0737,0.0657,0.00199,0.00749,0.00159,0.00162,0.125,0.00312,0.0218,0.00163,0.0499,0.183,0.00546,0.0747,0.00384,0.0404,0.155,0.00769,0.0323,0.00333,0.0134,0.0995,0.00155,0.00612,0.00365,0.00374,0.0788,0.00173,0.0256,0.00236,0.0459,0.038,0.0676,0.108,Nor
'Medial Tibia of Normal_28.jpg',0.0808,0.00221,0.0331,0.000996,0.0702,0.0643,0.00523,0.00622,0.000281,0.000204,0.137,0.00823,0.0261,0.00177,0.0419,0.179,0.00518,0.0713,0.00702,0.0279,0.163,0.00619,0.0354,0.00347,0.0172,0.1,0.00525,0.0114,0.00383,0.000816,0.0706,0.00381,0.0293,0.00338,0.05,0.0404,0.063,0.102,Nor
'Medial Tibia of Normal_29.jpg',0.0736,0.00155,0.0314,0.000532,0.0638,0.0635,0.00181,0.00796,0.00173,0.00592,0.138,0.00131,0.0247,0.00371,0.0526,0.213,0.0029,0.102,0.011,0.0584,0.157,0.00476,0.0382,0.00399,0.00714,0.0987,0.00308,0.00888,0.00205,0.00153,0.0681,0.00311,0.0295,0.00223,0.0419,0.0376,0.0572,0.0935,Nor
'Medial Tibia of Normal_3.jpg',0.105,0.00231,0.0569,0.00311,0.0958,0.0655,0.00126,0.00718,0.00207,0.00286,0.11,0.00163,0.00697,0.00202,0.0439,0.124,0.00423,0.0316,0.00213,0.0114,0.113,0.00329,0.0195,0.00286,0.00663,0.0945,0.00397,0.00789,0.00202,0.00286,0.102,0.00448,0.056,0.00236,0.0751,0.0568,0.0883,0.141,Nor
'Medial Tibia of Normal_30.jpg',0.0792,0.00466,0.037,0.00361,0.0714,0.07,0.00201,0.0112,0.00256,0.00245,0.131,0.00269,0.0233,0.00503,0.0388,0.203,0.00799,0.0907,0.00366,0.0443,0.167,0.00578,0.04,0.000185,0.0134,0.0929,0.00374,0.00887,0.00187,0.000102,0.0695,0.00145,0.0309,0.000985,0.0497,0.0385,0.0573,0.0921,Nor
'Medial Tibia of Normal_31.jpg',0.0701,0.00203,0.0295,0.00161,0.066,0.0641,0.000742,0.00936,0.00246,0.00449,0.136,0.00263,0.0242,0.00232,0.0481,0.192,0.0121,0.0763,0.0109,0.0269,0.163,0.00744,0.0391,0.00235,0.0169,0.0969,0.00275,0.0123,0.00148,0.00388,0.0757,0.00565,0.0316,0.00524,0.051,0.0376,0.062,0.102,Nor
'Medial Tibia of Normal_32.jpg',0.0693,0.00293,0.0255,0.0028,0.0658,0.059,0.00251,0.0055,0.00009,0.00245,0.132,0.00656,0.0124,0.0036,0.0538,0.197,0.00348,0.0502,0.0103,0.0198,0.17,0.00394,0.0232,0.00374,0.0255,0.108,0.00214,0.00753,0.00521,0.000204,0.0695,0.00154,0.0164,0.00106,0.033,0.0316,0.0647,0.0996,Nor
'Medial Tibia of Normal_33.jpg',0.0688,0.00146,0.0324,0.00184,0.0629,0.0613,0.00218,0.0114,0.00141,0.00214,0.143,0.00455,0.0175,0.00278,0.0523,0.209,0.0112,0.0891,0.00757,0.0389,0.164,0.000531,0.0401,0.00397,0.0232,0.1,0.00149,0.0138,0.00223,0.00143,0.0705,0.00311,0.0332,0.00368,0.0464,0.0306,0.0582,0.0941,Nor
'Medial Tibia of Normal_34.jpg',0.0771,0.00394,0.0349,0.00295,0.0714,0.065,0.00435,0.0105,0.000652,0.00133,0.133,0.00262,0.0187,0.00234,0.0461,0.193,0.0113,0.0762,0.00889,0.0117,0.146,0.00613,0.0369,0.00387,0.0244,0.0969,0.00329,0.0133,0.00313,0.00367,0.0824,0.00237,0.0335,0.00166,0.0563,0.0365,0.064,0.105,Nor
'Medial Tibia of Normal_35.jpg',0.0788,0.000706,0.0271,0.000541,0.0684,0.071,0.00206,0.00432,0.00118,0.00245,0.134,0.00677,0.0141,0.00358,0.0409,0.172,0.00895,0.0567,0.00478,0.0306,0.151,0.00576,0.0256,0.00412,0.0101,0.0932,0.0028,0.00619,0.00122,0.00133,0.0762,0.00133,0.0197,0.00205,0.0476,0.0438,0.0675,0.112,Nor
'Medial Tibia of Normal_36.jpg',0.0704,0.0023,0.0325,0.00252,0.0618,0.0707,0.00478,0.00612,0.000509,0.000918,0.134,0.00925,0.0235,0.00174,0.0374,0.206,0.0038,0.0991,0.00644,0.0599,0.161,0.011,0.038,0.00253,0.00826,0.0977,0.00692,0.0115,0.00391,0.000816,0.0679,0.00281,0.0237,0.00141,0.0415,0.0406,0.0557,0.0967,Nor
'Medial Tibia of Normal_37.jpg',0.081,0.00223,0.0428,0.00243,0.0755,0.0632,0.00322,0.008,0.00242,0.00541,0.132,0.00744,0.0207,0.00306,0.0397,0.189,0.00482,0.0899,0.0063,0.0396,0.155,0.00609,0.0455,0.00653,0.021,0.0922,0.0048,0.0131,0.00143,0.00347,0.0807,0.00435,0.0404,0.00162,0.0538,0.0388,0.065,0.104,Nor
'Medial Tibia of Normal_38.jpg',0.0715,0.00229,0.0244,0.00106,0.0638,0.0654,0.00363,0.00801,0.00198,0.000306,0.142,0.00429,0.0242,0.00622,0.0351,0.211,0.00513,0.0801,0.00583,0.0105,0.166,0.00392,0.0461,0.00166,0.0255,0.0965,0.00617,0.0139,0.00491,0.00143,0.0688,0.00146,0.0267,0.00368,0.0433,0.0342,0.0548,0.0898,Nor
'Medial Tibia of Normal_39.jpg',0.069,0.000847,0.0134,0.000397,0.0639,0.0596,0.0016,0.00465,0.00274,0.00245,0.139,0.0125,0.015,0.00509,0.0518,0.186,0.00509,0.0623,0.00094,0.0287,0.177,0.00746,0.0309,0.0075,0.0283,0.104,0.0033,0.00508,0.00106,0.00143,0.0682,0.00363,0.0123,0.00201,0.041,0.0339,0.0605,0.102,Nor
'Medial Tibia of Normal_4.jpg',0.0725,0.00218,0.029,0.00113,0.0695,0.0581,0.000955,0.0044,0.00196,0.0052,0.128,0.00696,0.0169,0.00416,0.0573,0.187,0.00839,0.0694,0.00647,0.00378,0.169,0.00396,0.0478,0.00636,0.0514,0.107,0.00485,0.0102,0.00259,0.00112,0.0768,0.003,0.0207,0.000417,0.0372,0.0312,0.0708,0.0996,Nor
'Medial Tibia of Normal_40.jpg',0.0732,0.0025,0.0216,0.00241,0.0668,0.067,0.000588,0.00602,0.00327,0.00337,0.139,0.00658,0.0158,0.0037,0.0508,0.191,0.00278,0.0671,0.0047,0.0334,0.162,0.00669,0.034,0.00661,0.0208,0.1,0.00299,0.00796,0.00352,0.005,0.0711,0.00223,0.0144,0.00219,0.0379,0.0379,0.0627,0.0963,Nor
'Medial Tibia of Normal_41.jpg',0.0723,0.000163,0.0173,0.00162,0.0656,0.0689,0.00277,0.00303,0.00089,0.005,0.143,0.00327,0.0188,0.00327,0.0536,0.191,0.00407,0.0632,0.00622,0.0368,0.154,0.00609,0.0291,0.0073,0.00969,0.101,0.00333,0.00626,0.00313,0.00122,0.0715,0.000921,0.0184,0.00129,0.0446,0.0383,0.0627,0.0966,Nor
'Medial Tibia of Normal_42.jpg',0.0629,0.0021,0.0037,0.000413,0.0555,0.0703,0.00256,0.00657,0.00431,0.00255,0.15,0.006,0.0162,0.00551,0.0545,0.197,0.00232,0.0338,0.0106,0.0151,0.172,0.00173,0.0202,0.00335,0.00755,0.0985,0.000356,0.00382,0.00138,0.00153,0.0611,0.00428,0.00564,0.00309,0.0358,0.0357,0.0592,0.0937,Nor
'Medial Tibia of Normal_43.jpg',0.0763,0.0012,0.0296,0.00228,0.0661,0.0687,0.00234,0.0104,0.00318,0.00235,0.135,0.0079,0.0246,0.00508,0.0348,0.203,0.00123,0.0926,0.00357,0.0531,0.158,0.000827,0.0376,0.00409,0.00582,0.0899,0.0033,0.00991,0.00118,0.00051,0.0721,0.0022,0.0356,0.00114,0.0499,0.0401,0.0575,0.0995,Nor
