@relation 'LBP_hf Lateral Femur ROI '

@attribute File {'Lateral Femur of G1_1.jpg','Lateral Femur of G1_10.jpg','Lateral Femur of G1_11.jpg','Lateral Femur of G1_12.jpg','Lateral Femur of G1_13.jpg','Lateral Femur of G1_14.jpg','Lateral Femur of G1_15.jpg','Lateral Femur of G1_16.jpg','Lateral Femur of G1_17.jpg','Lateral Femur of G1_18.jpg','Lateral Femur of G1_2.jpg','Lateral Femur of G1_3.jpg','Lateral Femur of G1_4.jpg','Lateral Femur of G1_5.jpg','Lateral Femur of G1_6.jpg','Lateral Femur of G1_7.jpg','Lateral Femur of G1_8.jpg','Lateral Femur of G1_9.jpg','Lateral Femur of G2_1.jpg','Lateral Femur of G2_10.jpg','Lateral Femur of G2_11.jpg','Lateral Femur of G2_12.jpg','Lateral Femur of G2_13.jpg','Lateral Femur of G2_14.jpg','Lateral Femur of G2_15.jpg','Lateral Femur of G2_16.jpg','Lateral Femur of G2_17.jpg','Lateral Femur of G2_18.jpg','Lateral Femur of G2_19.jpg','Lateral Femur of G2_2.jpg','Lateral Femur of G2_20.jpg','Lateral Femur of G2_21.jpg','Lateral Femur of G2_3.jpg','Lateral Femur of G2_4.jpg','Lateral Femur of G2_5.jpg','Lateral Femur of G2_6.jpg','Lateral Femur of G2_7.jpg','Lateral Femur of G2_8.jpg','Lateral Femur of G2_9.jpg','Lateral Femur of G3_1.jpg','Lateral Femur of G3_10.jpg','Lateral Femur of G3_11.jpg','Lateral Femur of G3_12.jpg','Lateral Femur of G3_13.jpg','Lateral Femur of G3_14.jpg','Lateral Femur of G3_15.jpg','Lateral Femur of G3_16.jpg','Lateral Femur of G3_17.jpg','Lateral Femur of G3_18.jpg','Lateral Femur of G3_19.jpg','Lateral Femur of G3_2.jpg','Lateral Femur of G3_20.jpg','Lateral Femur of G3_21.jpg','Lateral Femur of G3_22.jpg','Lateral Femur of G3_23.jpg','Lateral Femur of G3_24.jpg','Lateral Femur of G3_25.jpg','Lateral Femur of G3_26.jpg','Lateral Femur of G3_27.jpg','Lateral Femur of G3_28.jpg','Lateral Femur of G3_29.jpg','Lateral Femur of G3_3.jpg','Lateral Femur of G3_30.jpg','Lateral Femur of G3_31.jpg','Lateral Femur of G3_32.jpg','Lateral Femur of G3_33.jpg','Lateral Femur of G3_34.jpg','Lateral Femur of G3_35.jpg','Lateral Femur of G3_36.jpg','Lateral Femur of G3_37.jpg','Lateral Femur of G3_38.jpg','Lateral Femur of G3_39.jpg','Lateral Femur of G3_4.jpg','Lateral Femur of G3_40.jpg','Lateral Femur of G3_41.jpg','Lateral Femur of G3_42.jpg','Lateral Femur of G3_43.jpg','Lateral Femur of G3_44.jpg','Lateral Femur of G3_5.jpg','Lateral Femur of G3_6.jpg','Lateral Femur of G3_7.jpg','Lateral Femur of G3_8.jpg','Lateral Femur of G3_9.jpg','Lateral Femur of G4_1.jpg','Lateral Femur of G4_2.jpg','Lateral Femur of G4_3.jpg','Lateral Femur of G4_4.jpg','Lateral Femur of G4_5.jpg','Lateral Femur of G4_6.jpg','Lateral Femur of G4_7.jpg','Lateral Femur of G4_8.jpg','Lateral Femur of Nor_1.jpg','Lateral Femur of Nor_10.jpg','Lateral Femur of Nor_11.jpg','Lateral Femur of Nor_12.jpg','Lateral Femur of Nor_13.jpg','Lateral Femur of Nor_14.jpg','Lateral Femur of Nor_15.jpg','Lateral Femur of Nor_16.jpg','Lateral Femur of Nor_17.jpg','Lateral Femur of Nor_18.jpg','Lateral Femur of Nor_19.jpg','Lateral Femur of Nor_2.jpg','Lateral Femur of Nor_20.jpg','Lateral Femur of Nor_21.jpg','Lateral Femur of Nor_22.jpg','Lateral Femur of Nor_23.jpg','Lateral Femur of Nor_24.jpg','Lateral Femur of Nor_25.jpg','Lateral Femur of Nor_26.jpg','Lateral Femur of Nor_27.jpg','Lateral Femur of Nor_28.jpg','Lateral Femur of Nor_29.jpg','Lateral Femur of Nor_3.jpg','Lateral Femur of Nor_30.jpg','Lateral Femur of Nor_31.jpg','Lateral Femur of Nor_32.jpg','Lateral Femur of Nor_33.jpg','Lateral Femur of Nor_34.jpg','Lateral Femur of Nor_35.jpg','Lateral Femur of Nor_36.jpg','Lateral Femur of Nor_37.jpg','Lateral Femur of Nor_38.jpg','Lateral Femur of Nor_39.jpg','Lateral Femur of Nor_4.jpg','Lateral Femur of Nor_5.jpg','Lateral Femur of Nor_6.jpg','Lateral Femur of Nor_7.jpg','Lateral Femur of Nor_8.jpg','Lateral Femur of Nor_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Lateral Femur of G1_6.jpg',0.0802,0.000734,0.0366,0.00218,0.0706,0.0688,0.00329,0.00779,0.000667,0.00204,0.131,0.00531,0.0236,0.00111,0.0381,0.194,0.0147,0.0822,0.00663,0.0102,0.158,0.00575,0.0445,0.00695,0.0232,0.0973,0.00552,0.013,0.00262,0.000204,0.0708,0.00205,0.0304,0.00202,0.0451,0.0385,0.0606,0.1,'Grade 1'
'Lateral Femur of G1_7.jpg',0.0726,0.000438,0.0238,0.00252,0.0635,0.0674,0.00311,0.00621,0.00417,0.00133,0.138,0.00338,0.0193,0.00197,0.0402,0.199,0.0111,0.0628,0.00522,0.00633,0.17,0.00812,0.0287,0.00243,0.0143,0.0989,0.00197,0.00615,0.00175,0.000306,0.0694,0.00301,0.0205,0.00353,0.0447,0.0347,0.0561,0.0946,'Grade 1'
'Lateral Femur of G1_8.jpg',0.0722,0.00167,0.00687,0.000826,0.0659,0.0699,0.00253,0.00423,0.00419,0.00275,0.137,0.00534,0.00573,0.00359,0.0539,0.174,0.0144,0.00594,0.00483,0.018,0.161,0.00166,0.00755,0.00376,0.0173,0.109,0.00771,0.00875,0.00216,0.000918,0.0726,0.0034,0.00929,0.00277,0.0431,0.0402,0.0616,0.104,'Grade 1'
'Lateral Femur of G1_9.jpg',0.147,0.00557,0.127,0.00526,0.141,0.0673,0.00426,0.0269,0.00167,0.011,0.0921,0.00752,0.0127,0.00258,0.0197,0.103,0.00882,0.0452,0.00458,0.0123,0.092,0.0051,0.0203,0.00503,0.0104,0.0816,0.00544,0.0294,0.00512,0.00959,0.15,0.000509,0.131,0.00145,0.138,0.0548,0.079,0.133,'Grade 1'
'Lateral Femur of G2_1.jpg',0.0727,0.00243,0.0103,0.00286,0.0654,0.0702,0.00551,0.00261,0.000455,0.0049,0.138,0.00611,0.0118,0.00161,0.0553,0.173,0.0202,0.0341,0.01,0.0052,0.169,0.00664,0.0195,0.00219,0.012,0.101,0.00865,0.00286,0.00363,0.00184,0.0725,0.00378,0.012,0.00357,0.0411,0.0368,0.0638,0.102,'Grade 2'
'Lateral Femur of G2_10.jpg',0.103,0.00156,0.0525,0.00177,0.0925,0.069,0.0016,0.0088,0.00391,0.00286,0.111,0.00366,0.0217,0.00624,0.0244,0.139,0.00468,0.0609,0.00643,0.00857,0.122,0.00737,0.037,0.00147,0.0109,0.0863,0.0021,0.011,0.00242,0.00245,0.101,0.0023,0.0488,0.00197,0.0736,0.0579,0.0806,0.131,'Grade 2'
'Lateral Femur of G2_11.jpg',0.107,0.00261,0.0566,0.0025,0.0957,0.0653,0.00206,0.00769,0.00351,0.00141,0.107,0.00356,0.0174,0.00118,0.032,0.127,0.00975,0.0481,0.00529,0.00394,0.119,0.00309,0.0243,0.000056,0.0144,0.0846,0.000215,0.00728,0.00251,0.000202,0.104,0.00522,0.0515,0.0077,0.0798,0.0584,0.0869,0.141,'Grade 2'
'Lateral Femur of G2_12.jpg',0.0675,0.00375,0.0287,0.0041,0.0637,0.0649,0.00302,0.0074,0.00141,0.00122,0.136,0.00274,0.0183,0.00303,0.0475,0.198,0.00483,0.0712,0.00232,0.0164,0.172,0.00805,0.0359,0.00397,0.031,0.108,0.00242,0.00996,0.00262,0.0052,0.0656,0.00246,0.019,0.0012,0.0381,0.032,0.0607,0.0956,'Grade 2'
'Lateral Femur of G2_13.jpg',0.0687,0.000095,0.0045,0.000551,0.064,0.065,0.00229,0.00298,0.00259,0.000714,0.139,0.000544,0.00852,0.00244,0.0553,0.177,0.00717,0.0342,0.00702,0.00378,0.173,0.0024,0.0163,0.00194,0.00408,0.102,0.00235,0.00245,0.00503,0.00449,0.0663,0.00524,0.0074,0.00796,0.0396,0.0373,0.0635,0.109,'Grade 2'
'Lateral Femur of G2_14.jpg',0.0806,0.00418,0.027,0.00456,0.0718,0.0655,0.00325,0.00598,0.00223,0,0.133,0.00145,0.017,0.00159,0.0516,0.167,0.0031,0.0569,0.00158,0.0137,0.165,0.00519,0.0305,0.00468,0.00714,0.104,0.0036,0.0116,0.00241,0.00378,0.076,0.00134,0.0226,0.00158,0.0532,0.0406,0.0625,0.107,'Grade 2'
'Lateral Femur of G2_15.jpg',0.0868,0.00174,0.045,0.000784,0.0795,0.0629,0.00198,0.0117,0.00104,0.00245,0.12,0.00625,0.0252,0.00147,0.0351,0.185,0.0177,0.0857,0.0101,0.000306,0.152,0.00279,0.0439,0.000592,0.0231,0.0913,0.005,0.013,0.00371,0.00296,0.084,0.00346,0.0473,0.00282,0.0603,0.0433,0.0642,0.11,'Grade 2'
'Lateral Femur of G2_16.jpg',0.0759,0.00395,0.0146,0.00382,0.0696,0.0654,0.00198,0.000941,0.00205,0.00582,0.134,0.00887,0.0142,0.00149,0.0483,0.173,0.00943,0.0484,0.00637,0.00694,0.163,0.0007,0.028,0.00613,0.023,0.102,0.00112,0.0058,0.00354,0.00714,0.0726,0.00294,0.0132,0.00189,0.0435,0.0385,0.0668,0.11,'Grade 2'
'Lateral Femur of G2_17.jpg',0.0728,0.00141,0.0194,0.000314,0.0622,0.0654,0.0023,0.00362,0.00282,0.000102,0.142,0.0026,0.0114,0.00343,0.0414,0.192,0.00212,0.0429,0.0159,0.00786,0.165,0.0013,0.02,0.00046,0.014,0.1,0.00241,0.00716,0.00111,0.00235,0.0666,0.00162,0.0188,0.00286,0.0448,0.0397,0.0575,0.0995,'Grade 2'
'Lateral Femur of G2_18.jpg',0.0756,0.0036,0.0283,0.00388,0.0646,0.0654,0.0041,0.00567,0.00215,0.00173,0.137,0.00451,0.0175,0.00217,0.0392,0.19,0.0113,0.0591,0.00538,0.0235,0.172,0.0104,0.0269,0.000771,0.00378,0.0976,0.00738,0.0117,0.00398,0.000918,0.0677,0.000341,0.0221,0.00207,0.0453,0.0389,0.0562,0.1,'Grade 2'
'Lateral Femur of G2_19.jpg',0.0773,0.00201,0.0196,0.00137,0.0708,0.0668,0.00256,0.00286,0.00459,0.00296,0.134,0.00314,0.0148,0.003,0.0472,0.164,0.00759,0.0425,0.00701,0.00633,0.166,0.00678,0.0274,0.00192,0.0227,0.102,0.00199,0.00423,0.00451,0.000918,0.0744,0.0037,0.0194,0.00282,0.0513,0.0417,0.0649,0.109,'Grade 2'
'Lateral Femur of G2_2.jpg',0.0787,0.00298,0.0279,0.00291,0.0746,0.0553,0.00449,0.00362,0.00206,0.00224,0.124,0.00248,0.0175,0.00376,0.0542,0.197,0.00106,0.0724,0.00325,0.04,0.162,0.00384,0.0379,0.00569,0.0241,0.101,0.00514,0.00669,0.00131,0.00133,0.075,0.00378,0.0235,0.00303,0.0432,0.0344,0.0649,0.108,'Grade 2'
'Lateral Femur of G2_20.jpg',0.0845,0.0027,0.0337,0.00258,0.0722,0.0695,0.00134,0.00559,0.00142,0.00173,0.123,0.00585,0.0222,0.00198,0.031,0.167,0.00528,0.0629,0.00308,0.0282,0.147,0.000676,0.0314,0.00163,0.0049,0.0963,0.00387,0.0122,0.00162,0,0.0776,0.00237,0.0268,0.00219,0.0527,0.0529,0.0655,0.117,'Grade 2'
'Lateral Femur of G2_21.jpg',0.0675,0.0016,0.0283,0.00165,0.062,0.0589,0.00117,0.00431,0.00144,0.00214,0.145,0.00235,0.0176,0.00557,0.0565,0.212,0.0044,0.0671,0.00187,0.0188,0.168,0.00428,0.0329,0.00587,0.0227,0.0982,0.00266,0.00949,0.00262,0.00531,0.0662,0.00357,0.0201,0.00295,0.0405,0.0323,0.0594,0.0926,'Grade 2'
'Lateral Femur of G2_3.jpg',0.0753,0.00185,0.0273,0.00205,0.0677,0.0687,0.00408,0.00971,0.0028,0.00235,0.135,0.00203,0.0273,0.00366,0.0457,0.186,0.0133,0.0738,0.0107,0.0378,0.164,0.00432,0.0315,0.00468,0.0109,0.0983,0.000742,0.00553,0.00238,0.00133,0.0709,0.000859,0.0223,0.00227,0.0436,0.0409,0.06,0.101,'Grade 2'
'Lateral Femur of G2_4.jpg',0.0553,0.000571,0.0259,0.000893,0.0508,0.0626,0.00462,0.00653,0.00112,0.00122,0.146,0.00602,0.0314,0.000701,0.0265,0.255,0.0115,0.108,0.00485,0.00153,0.193,0.0116,0.0565,0.00264,0.0347,0.0862,0.00296,0.00657,0.00376,0.00133,0.0564,0.00582,0.0207,0.00243,0.0362,0.0284,0.0441,0.0726,'Grade 2'
'Lateral Femur of G2_5.jpg',0.0616,0.00229,0.00673,0.00311,0.0557,0.0604,0.00181,0.00625,0.00245,0,0.154,0.000273,0.0155,0.00244,0.0571,0.199,0.00498,0.0312,0.00365,0.00928,0.172,0.00222,0.0236,0.00328,0.0269,0.0989,0.00195,0.00281,0.00473,0.00153,0.0635,0.00343,0.00859,0.002,0.0337,0.0324,0.0634,0.0943,'Grade 2'
'Lateral Femur of G2_6.jpg',0.0722,0.00179,0.0113,0.00336,0.0635,0.07,0.00211,0.00794,0.00493,0.00633,0.129,0.00586,0.0167,0.00281,0.0448,0.182,0.00956,0.05,0.00642,0.0188,0.164,0.00762,0.027,0.00697,0.0144,0.103,0.00244,0.00574,0.00212,0.00571,0.0711,0.00262,0.0169,0.00208,0.0434,0.0413,0.0636,0.104,'Grade 2'
'Lateral Femur of G2_7.jpg',0.0662,0.00204,0.00786,0.00245,0.0568,0.0704,0.00133,0.00145,0.00252,0.00163,0.145,0.00705,0.0273,0.00503,0.0223,0.21,0.0117,0.0751,0.0104,0.0049,0.17,0.00929,0.0452,0.0108,0.0254,0.0955,0.00519,0.00248,0.00183,0.000816,0.0601,0.00245,0.00664,0.00179,0.0397,0.0397,0.0529,0.0902,'Grade 2'
'Lateral Femur of G2_8.jpg',0.12,0.00288,0.0748,0.00188,0.107,0.0648,0.000266,0.00686,0.00194,0.00316,0.0898,0.00375,0.012,0.00197,0.0308,0.104,0.0046,0.0322,0.00398,0.00173,0.0944,0.00405,0.0163,0.00477,0.00194,0.0867,0.00721,0.0123,0.00313,0.00286,0.119,0.00879,0.0716,0.0084,0.0873,0.0692,0.0918,0.16,'Grade 2'
