File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Literal Tibia of Normal_42.jpg,4.54E+00,1.24E+00,1.64E-01,3.09E+00,2.55E-01,1.52E+00,Nor
Literal Tibia of Normal_43.jpg,5.02E+00,1.27E+00,1.16E-01,2.95E+00,2.49E-01,1.54E+00,Nor
Literal Tibia of Normal_44.jpg,5.66E+00,1.21E+00,-7.20E-02,2.86E+00,2.54E-01,1.51E+00,Nor
Literal Tibia of Normal_45.jpg,5.04E+00,1.24E+00,-2.77E-02,3.05E+00,2.55E-01,1.53E+00,Nor
Literal Tibia of Normal_46.jpg,4.91E+00,1.33E+00,1.44E-01,3.01E+00,2.45E-01,1.56E+00,Nor
Literal Tibia of Normal_47.jpg,5.07E+00,1.22E+00,5.63E-02,3.09E+00,2.59E-01,1.52E+00,Nor
Literal Tibia of Normal_48.jpg,4.59E+00,1.32E+00,1.78E-01,3.29E+00,2.50E-01,1.55E+00,Nor
Literal Tibia of Normal_49.jpg,4.13E+00,1.22E+00,3.34E-01,2.90E+00,2.55E-01,1.51E+00,Nor
Literal Tibia of Normal_5.jpg,5.23E+00,1.55E+00,-5.38E-02,2.84E+00,2.24E-01,1.64E+00,Nor
Literal Tibia of Normal_50.jpg,4.56E+00,1.18E+00,1.60E-01,2.84E+00,2.57E-01,1.50E+00,Nor
Literal Tibia of Normal_51.jpg,5.25E+00,1.39E+00,-1.44E-01,3.00E+00,2.40E-01,1.58E+00,Nor
Literal Tibia of Normal_52.jpg,3.91E+00,8.65E-01,3.87E-01,3.22E+00,3.09E-01,1.33E+00,Nor
Literal Tibia of Normal_53.jpg,4.78E+00,1.68E+00,1.42E-01,2.66E+00,2.15E-01,1.67E+00,Nor
Literal Tibia of Normal_54.jpg,5.21E+00,1.25E+00,7.37E-02,2.97E+00,2.51E-01,1.53E+00,Nor
Literal Tibia of Normal_55.jpg,5.15E+00,1.03E+00,-2.20E-02,3.14E+00,2.84E-01,1.43E+00,Nor
Literal Tibia of Normal_56.jpg,4.87E+00,1.41E+00,1.70E-01,2.93E+00,2.37E-01,1.59E+00,Nor
Literal Tibia of Normal_57.jpg,5.04E+00,1.51E+00,-8.69E-03,2.76E+00,2.26E-01,1.62E+00,Nor
Literal Tibia of Normal_58.jpg,5.01E+00,1.08E+00,1.26E-01,2.98E+00,2.72E-01,1.46E+00,Nor
Literal Tibia of Normal_59.jpg,4.76E+00,1.52E+00,2.57E-01,3.06E+00,2.34E-01,1.62E+00,Nor
Literal Tibia of Normal_6.jpg,4.57E+00,1.31E+00,6.16E-02,2.80E+00,2.43E-01,1.55E+00,Nor
Literal Tibia of Normal_60.jpg,4.81E+00,1.41E+00,1.15E-01,2.74E+00,2.34E-01,1.59E+00,Nor
Literal Tibia of Normal_61.jpg,4.29E+00,1.38E+00,4.66E-01,3.30E+00,2.46E-01,1.56E+00,Nor
Literal Tibia of Normal_62.jpg,4.77E+00,1.54E+00,1.16E-01,2.85E+00,2.26E-01,1.63E+00,Nor
Literal Tibia of Normal_63.jpg,4.87E+00,1.15E+00,9.79E-02,3.00E+00,2.62E-01,1.48E+00,Nor
Literal Tibia of Normal_7.jpg,4.64E+00,1.36E+00,2.77E-01,3.00E+00,2.44E-01,1.56E+00,Nor
Literal Tibia of Normal_8.jpg,5.91E+00,8.92E-01,-4.16E-01,3.50E+00,3.10E-01,1.35E+00,Nor
Literal Tibia of Normal_9.jpg,5.26E+00,1.23E+00,-1.26E-01,3.13E+00,2.57E-01,1.52E+00,Nor
Literal Tibia of OA_1.jpg,4.36E+00,2.00E+00,8.69E-01,3.32E+00,2.35E-01,1.65E+00,OA
Literal Tibia of OA_10.jpg,3.55E+00,7.51E-01,7.04E-01,4.84E+00,3.46E-01,1.24E+00,OA
Literal Tibia of OA_11.jpg,4.56E+00,1.18E+00,1.96E-01,3.17E+00,2.63E-01,1.50E+00,OA
Literal Tibia of OA_12.jpg,4.69E+00,1.43E+00,1.52E-01,2.94E+00,2.35E-01,1.60E+00,OA
Literal Tibia of OA_13.jpg,4.64E+00,1.30E+00,3.95E-01,3.15E+00,2.54E-01,1.53E+00,OA
Literal Tibia of OA_14.jpg,4.23E+00,1.25E+00,4.73E-01,3.38E+00,2.60E-01,1.51E+00,OA
Literal Tibia of OA_15.jpg,4.49E+00,1.13E+00,2.97E-01,2.84E+00,2.65E-01,1.47E+00,OA
Literal Tibia of OA_16.jpg,4.40E+00,1.18E+00,4.69E-01,3.76E+00,2.71E-01,1.48E+00,OA
Literal Tibia of OA_17.jpg,4.63E+00,1.20E+00,1.84E-01,3.25E+00,2.63E-01,1.50E+00,OA
Literal Tibia of OA_18.jpg,4.64E+00,1.24E+00,7.10E-02,2.90E+00,2.52E-01,1.52E+00,OA
Literal Tibia of OA_19.jpg,4.31E+00,1.06E+00,1.33E-01,3.16E+00,2.75E-01,1.44E+00,OA
Literal Tibia of OA_2.jpg,5.15E+00,1.22E+00,1.57E-01,2.92E+00,2.54E-01,1.51E+00,OA
Literal Tibia of OA_20.jpg,4.24E+00,1.22E+00,6.47E-02,2.93E+00,2.54E-01,1.52E+00,OA
Literal Tibia of OA_21.jpg,4.86E+00,1.39E+00,1.94E-01,2.87E+00,2.37E-01,1.58E+00,OA
Literal Tibia of OA_22.jpg,4.65E+00,1.21E+00,2.00E-01,3.02E+00,2.59E-01,1.51E+00,OA
Literal Tibia of OA_23.jpg,4.45E+00,1.06E+00,2.96E-01,2.98E+00,2.75E-01,1.44E+00,OA
Literal Tibia of OA_24.jpg,4.57E+00,1.13E+00,1.98E-01,3.31E+00,2.72E-01,1.47E+00,OA
Literal Tibia of OA_25.jpg,5.02E+00,1.10E+00,9.26E-02,3.23E+00,2.75E-01,1.47E+00,OA
Literal Tibia of OA_26.jpg,4.12E+00,1.26E+00,1.10E-01,2.87E+00,2.49E-01,1.53E+00,OA
Literal Tibia of OA_27.jpg,4.81E+00,1.58E+00,1.63E-01,2.77E+00,2.23E-01,1.64E+00,OA
Literal Tibia of OA_28.jpg,5.31E+00,1.61E+00,-1.68E-01,3.05E+00,2.25E-01,1.65E+00,OA
Literal Tibia of OA_29.jpg,4.57E+00,1.20E+00,1.20E-01,2.84E+00,2.54E-01,1.51E+00,OA
Literal Tibia of OA_3.jpg,5.16E+00,1.05E+00,-1.63E-01,2.87E+00,2.73E-01,1.44E+00,OA
Literal Tibia of OA_30.jpg,4.07E+00,1.04E+00,3.97E-01,3.54E+00,2.87E-01,1.42E+00,OA
Literal Tibia of OA_31.jpg,5.28E+00,1.44E+00,-1.13E-01,2.91E+00,2.36E-01,1.60E+00,OA
Literal Tibia of OA_32.jpg,4.80E+00,1.25E+00,1.92E-01,3.25E+00,2.57E-01,1.52E+00,OA
Literal Tibia of OA_33.jpg,4.76E+00,1.46E+00,1.09E-01,2.72E+00,2.29E-01,1.60E+00,OA
Literal Tibia of OA_34.jpg,5.03E+00,1.44E+00,-3.15E-02,2.91E+00,2.34E-01,1.60E+00,OA
Literal Tibia of OA_35.jpg,4.29E+00,1.42E+00,3.41E-01,2.92E+00,2.40E-01,1.58E+00,OA
Literal Tibia of OA_36.jpg,4.05E+00,8.18E-01,6.34E-01,4.42E+00,3.36E-01,1.29E+00,OA
Literal Tibia of OA_37.jpg,4.09E+00,9.09E-01,3.90E-01,3.95E+00,3.10E-01,1.36E+00,OA
Literal Tibia of OA_38.jpg,4.60E+00,9.65E-01,3.18E-01,3.70E+00,2.99E-01,1.39E+00,OA
Literal Tibia of OA_39.jpg,4.30E+00,1.29E+00,2.97E-01,3.14E+00,2.58E-01,1.53E+00,OA
Literal Tibia of OA_4.jpg,5.12E+00,1.30E+00,-1.02E-01,2.80E+00,2.44E-01,1.55E+00,OA
Literal Tibia of OA_40.jpg,4.60E+00,1.19E+00,1.62E-01,3.25E+00,2.65E-01,1.50E+00,OA
Literal Tibia of OA_41.jpg,4.86E+00,1.39E+00,8.65E-02,2.92E+00,2.39E-01,1.58E+00,OA
Literal Tibia of OA_42.jpg,4.67E+00,1.37E+00,1.83E-01,3.08E+00,2.44E-01,1.57E+00,OA
Literal Tibia of OA_43.jpg,4.95E+00,1.39E+00,1.36E-01,3.00E+00,2.41E-01,1.58E+00,OA
Literal Tibia of OA_44.jpg,4.77E+00,1.29E+00,1.01E-01,3.11E+00,2.50E-01,1.54E+00,OA
Literal Tibia of OA_45.jpg,5.48E+00,1.25E+00,-1.62E-01,2.87E+00,2.51E-01,1.53E+00,OA
Literal Tibia of OA_46.jpg,4.82E+00,1.57E+00,-1.92E-01,2.86E+00,2.24E-01,1.64E+00,OA
Literal Tibia of OA_47.jpg,4.48E+00,1.41E+00,3.34E-01,2.99E+00,2.42E-01,1.58E+00,OA
Literal Tibia of OA_48.jpg,4.72E+00,1.24E+00,-4.22E-02,3.03E+00,2.54E-01,1.53E+00,OA
Literal Tibia of OA_49.jpg,4.85E+00,1.43E+00,8.71E-02,2.99E+00,2.38E-01,1.59E+00,OA
Literal Tibia of OA_5.jpg,4.94E+00,1.22E+00,1.02E-01,2.96E+00,2.54E-01,1.52E+00,OA
Literal Tibia of OA_50.jpg,5.74E+00,1.39E+00,-3.81E-01,3.02E+00,2.42E-01,1.57E+00,OA
Literal Tibia of OA_51.jpg,5.14E+00,1.29E+00,-1.22E-01,2.72E+00,2.45E-01,1.54E+00,OA
Literal Tibia of OA_52.jpg,4.78E+00,1.85E+00,1.82E-01,2.76E+00,2.04E-01,1.72E+00,OA
Literal Tibia of OA_53.jpg,4.94E+00,1.44E+00,1.89E-02,2.79E+00,2.32E-01,1.60E+00,OA
Literal Tibia of OA_54.jpg,4.54E+00,1.28E+00,4.02E-01,3.09E+00,2.58E-01,1.52E+00,OA
Literal Tibia of OA_55.jpg,5.23E+00,1.10E+00,1.31E-01,2.97E+00,2.71E-01,1.46E+00,OA
Literal Tibia of OA_56.jpg,4.81E+00,1.42E+00,1.36E-01,2.69E+00,2.33E-01,1.59E+00,OA
Literal Tibia of OA_57.jpg,4.74E+00,1.55E+00,8.61E-02,2.88E+00,2.25E-01,1.63E+00,OA
Literal Tibia of OA_58.jpg,5.01E+00,1.47E+00,6.59E-02,2.87E+00,2.32E-01,1.61E+00,OA
Literal Tibia of OA_59.jpg,4.25E+00,9.94E-01,1.17E-01,2.99E+00,2.82E-01,1.41E+00,OA
Literal Tibia of OA_6.jpg,4.98E+00,1.34E+00,9.58E-02,2.94E+00,2.47E-01,1.56E+00,OA
Literal Tibia of OA_60.jpg,5.08E+00,1.37E+00,1.71E-01,2.85E+00,2.42E-01,1.57E+00,OA
Literal Tibia of OA_61.jpg,4.96E+00,1.13E+00,8.01E-02,3.12E+00,2.68E-01,1.48E+00,OA
Literal Tibia of OA_62.jpg,4.76E+00,1.35E+00,1.19E-01,2.96E+00,2.43E-01,1.57E+00,OA
Literal Tibia of OA_63.jpg,5.26E+00,1.57E+00,-3.94E-02,2.82E+00,2.22E-01,1.64E+00,OA
Literal Tibia of OA_64.jpg,4.31E+00,1.24E+00,5.50E-01,3.52E+00,2.66E-01,1.50E+00,OA
Literal Tibia of OA_65.jpg,4.54E+00,1.45E+00,1.80E-01,2.87E+00,2.31E-01,1.60E+00,OA
Literal Tibia of OA_66.jpg,4.77E+00,1.63E+00,2.12E-01,2.88E+00,2.22E-01,1.66E+00,OA
Literal Tibia of OA_67.jpg,4.15E+00,1.41E+00,2.50E-01,2.97E+00,2.36E-01,1.58E+00,OA
Literal Tibia of OA_68.jpg,4.97E+00,1.15E+00,-7.12E-03,3.28E+00,2.74E-01,1.48E+00,OA
Literal Tibia of OA_7.jpg,4.64E+00,1.34E+00,1.01E-01,2.98E+00,2.45E-01,1.56E+00,OA
Literal Tibia of OA_8.jpg,4.82E+00,1.10E+00,4.46E-01,3.94E+00,2.93E-01,1.44E+00,OA
Literal Tibia of OA_9.jpg,4.36E+00,1.20E+00,4.65E-01,3.47E+00,2.69E-01,1.49E+00,OA
