@relation 'LBP_hf Medial Tibia ROI '

@attribute File {'Medial Tibia of G1_1.jpg','Medial Tibia of G1_10.jpg','Medial Tibia of G1_11.jpg','Medial Tibia of G1_12.jpg','Medial Tibia of G1_13.jpg','Medial Tibia of G1_14.jpg','Medial Tibia of G1_15.jpg','Medial Tibia of G1_16.jpg','Medial Tibia of G1_17.jpg','Medial Tibia of G1_18.jpg','Medial Tibia of G1_2.jpg','Medial Tibia of G1_3.jpg','Medial Tibia of G1_4.jpg','Medial Tibia of G1_5.jpg','Medial Tibia of G1_6.jpg','Medial Tibia of G1_7.jpg','Medial Tibia of G1_8.jpg','Medial Tibia of G1_9.jpg','Medial Tibia of G2_1.jpg','Medial Tibia of G2_10.jpg','Medial Tibia of G2_11.jpg','Medial Tibia of G2_12.jpg','Medial Tibia of G2_13.jpg','Medial Tibia of G2_14.jpg','Medial Tibia of G2_15.jpg','Medial Tibia of G2_16.jpg','Medial Tibia of G2_17.jpg','Medial Tibia of G2_18.jpg','Medial Tibia of G2_19.jpg','Medial Tibia of G2_2.jpg','Medial Tibia of G2_20.jpg','Medial Tibia of G2_21.jpg','Medial Tibia of G2_3.jpg','Medial Tibia of G2_4.jpg','Medial Tibia of G2_5.jpg','Medial Tibia of G2_6.jpg','Medial Tibia of G2_7.jpg','Medial Tibia of G2_8.jpg','Medial Tibia of G2_9.jpg','Medial Tibia of G3_1.jpg','Medial Tibia of G3_10.jpg','Medial Tibia of G3_11.jpg','Medial Tibia of G3_12.jpg','Medial Tibia of G3_13.jpg','Medial Tibia of G3_14.jpg','Medial Tibia of G3_15.jpg','Medial Tibia of G3_16.jpg','Medial Tibia of G3_17.jpg','Medial Tibia of G3_18.jpg','Medial Tibia of G3_19.jpg','Medial Tibia of G3_2.jpg','Medial Tibia of G3_20.jpg','Medial Tibia of G3_21.jpg','Medial Tibia of G3_22.jpg','Medial Tibia of G3_23.jpg','Medial Tibia of G3_24.jpg','Medial Tibia of G3_25.jpg','Medial Tibia of G3_26.jpg','Medial Tibia of G3_27.jpg','Medial Tibia of G3_28.jpg','Medial Tibia of G3_29.jpg','Medial Tibia of G3_3.jpg','Medial Tibia of G3_30.jpg','Medial Tibia of G3_31.jpg','Medial Tibia of G3_32.jpg','Medial Tibia of G3_33.jpg','Medial Tibia of G3_34.jpg','Medial Tibia of G3_35.jpg','Medial Tibia of G3_36.jpg','Medial Tibia of G3_37.jpg','Medial Tibia of G3_38.jpg','Medial Tibia of G3_39.jpg','Medial Tibia of G3_4.jpg','Medial Tibia of G3_40.jpg','Medial Tibia of G3_41.jpg','Medial Tibia of G3_42.jpg','Medial Tibia of G3_43.jpg','Medial Tibia of G3_44.jpg','Medial Tibia of G3_5.jpg','Medial Tibia of G3_6.jpg','Medial Tibia of G3_7.jpg','Medial Tibia of G3_8.jpg','Medial Tibia of G3_9.jpg','Medial Tibia of G4_1.jpg','Medial Tibia of G4_2.jpg','Medial Tibia of G4_3.jpg','Medial Tibia of G4_4.jpg','Medial Tibia of G4_5.jpg','Medial Tibia of G4_6.jpg','Medial Tibia of G4_7.jpg','Medial Tibia of G4_8.jpg','Medial Tibia of Nor_1.jpg','Medial Tibia of Nor_10.jpg','Medial Tibia of Nor_11.jpg','Medial Tibia of Nor_12.jpg','Medial Tibia of Nor_13.jpg','Medial Tibia of Nor_14.jpg','Medial Tibia of Nor_15.jpg','Medial Tibia of Nor_16.jpg','Medial Tibia of Nor_17.jpg','Medial Tibia of Nor_18.jpg','Medial Tibia of Nor_19.jpg','Medial Tibia of Nor_2.jpg','Medial Tibia of Nor_20.jpg','Medial Tibia of Nor_21.jpg','Medial Tibia of Nor_22.jpg','Medial Tibia of Nor_23.jpg','Medial Tibia of Nor_24.jpg','Medial Tibia of Nor_25.jpg','Medial Tibia of Nor_26.jpg','Medial Tibia of Nor_27.jpg','Medial Tibia of Nor_28.jpg','Medial Tibia of Nor_29.jpg','Medial Tibia of Nor_3.jpg','Medial Tibia of Nor_30.jpg','Medial Tibia of Nor_31.jpg','Medial Tibia of Nor_32.jpg','Medial Tibia of Nor_33.jpg','Medial Tibia of Nor_34.jpg','Medial Tibia of Nor_35.jpg','Medial Tibia of Nor_36.jpg','Medial Tibia of Nor_37.jpg','Medial Tibia of Nor_38.jpg','Medial Tibia of Nor_39.jpg','Medial Tibia of Nor_4.jpg','Medial Tibia of Nor_5.jpg','Medial Tibia of Nor_6.jpg','Medial Tibia of Nor_7.jpg','Medial Tibia of Nor_8.jpg','Medial Tibia of Nor_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Tibia of G1_6.jpg',0.0808,0.00187,0.031,0.000879,0.0717,0.0703,0.00399,0.00888,0.00244,0.00283,0.134,0.00415,0.0145,0.00319,0.0356,0.188,0.00475,0.0774,0.00391,0.0251,0.153,0.00229,0.0302,0.00393,0.00798,0.0975,0.00363,0.0101,0.00182,0.00152,0.0728,0.00265,0.0313,0.00238,0.0526,0.0404,0.0617,0.102,'Grade 1'
'Medial Tibia of G1_7.jpg',0.0768,0.00328,0.0386,0.00227,0.0721,0.0634,0.00323,0.00865,0.00238,0.000918,0.134,0.00767,0.022,0.00549,0.0451,0.197,0.00978,0.0886,0.00683,0.0238,0.159,0.0127,0.0438,0.000396,0.0197,0.0935,0.00412,0.00952,0.00124,0.00388,0.0789,0.00492,0.0402,0.00255,0.0525,0.0374,0.0593,0.1,'Grade 1'
'Medial Tibia of G1_8.jpg',0.0761,0.00284,0.00695,0.00221,0.0692,0.0697,0.000463,0.00488,0.00134,0.00153,0.137,0.00625,0.00879,0.00332,0.0533,0.168,0.00707,0.012,0.00917,0.00561,0.162,0.00465,0.0103,0.00489,0.00949,0.106,0.000861,0.00708,0.00289,0.00796,0.0723,0.0038,0.00479,0.00066,0.0428,0.0388,0.0656,0.104,'Grade 1'
'Medial Tibia of G1_9.jpg',0.195,0.00501,0.18,0.00458,0.193,0.0556,0.00374,0.0252,0.00285,0.00153,0.0654,0.00783,0.00804,0.00326,0.0179,0.0781,0.00347,0.0273,0.00355,0.014,0.068,0.00594,0.0161,0.00266,0.0112,0.0665,0.00271,0.0266,0.00473,0.00408,0.195,0.00118,0.18,0.000693,0.185,0.0508,0.0877,0.138,'Grade 1'
'Medial Tibia of G2_1.jpg',0.0679,0.00495,0.021,0.0052,0.0611,0.0565,0.00433,0.00525,0.000836,0.00286,0.145,0.000641,0.015,0.00279,0.0548,0.199,0.0012,0.0721,0.00451,0.0352,0.173,0.00508,0.0392,0.00302,0.027,0.101,0.000813,0.00594,0.00542,0.000102,0.0653,0.00297,0.0155,0.00402,0.04,0.0332,0.0615,0.0973,'Grade 2'
'Medial Tibia of G2_10.jpg',0.107,0.00405,0.0581,0.00448,0.0934,0.0691,0.00144,0.00356,0.00223,0.000714,0.0965,0.00446,0.0158,0.00171,0.0233,0.118,0.00173,0.0491,0.00321,0.0101,0.108,0.00646,0.0244,0.00252,0.00224,0.0866,0.00107,0.00707,0.0039,0.0048,0.104,0.00409,0.0508,0.00117,0.0751,0.0694,0.0898,0.151,'Grade 2'
'Medial Tibia of G2_11.jpg',0.12,0.00281,0.0714,0.00327,0.108,0.0642,0.00147,0.00815,0.00251,0.00235,0.0964,0.00475,0.0108,0.00161,0.0319,0.106,0.00264,0.0341,0.00483,0.00724,0.102,0.00408,0.0139,0.00142,0.00459,0.0854,0.00259,0.00657,0.00347,0.00235,0.114,0.00198,0.0642,0.00102,0.0824,0.065,0.0931,0.154,'Grade 2'
'Medial Tibia of G2_12.jpg',0.0761,0.00312,0.0242,0.00312,0.0688,0.0623,0.00284,0.00842,0.00154,0.000707,0.134,0.00223,0.0146,0.00359,0.0558,0.184,0.00957,0.0614,0.00351,0.0298,0.165,0.00409,0.0319,0.00231,0.0239,0.101,0.00312,0.012,0.00354,0.00646,0.07,0.00284,0.024,0.00134,0.0405,0.034,0.0712,0.103,'Grade 2'
'Medial Tibia of G2_13.jpg',0.0742,0.00401,0.0345,0.00416,0.0683,0.0663,0.00289,0.00959,0.00142,0.00388,0.143,0.00562,0.0215,0.00494,0.0473,0.202,0.00673,0.0821,0.00795,0.0304,0.164,0.00423,0.0376,0.000894,0.0162,0.0972,0.00057,0.0153,0.00415,0.00296,0.0682,0.00271,0.03,0.00225,0.0412,0.0349,0.0584,0.0922,'Grade 2'
'Medial Tibia of G2_14.jpg',0.0828,0.000704,0.0453,0.000615,0.0759,0.0683,0.0027,0.0115,0.0022,0.000918,0.129,0.00359,0.0185,0.00152,0.047,0.189,0.000831,0.0792,0.00283,0.0283,0.156,0.00304,0.0392,0.00155,0.0188,0.0966,0.00324,0.0115,0.00301,0.00133,0.0785,0.0042,0.0388,0.00205,0.0542,0.0385,0.0634,0.0988,'Grade 2'
'Medial Tibia of G2_15.jpg',0.0709,0.00391,0.0231,0.00217,0.0646,0.0622,0.000145,0.00621,0.00204,0.0051,0.132,0.0047,0.0209,0.00142,0.0481,0.197,0.00226,0.0787,0.00358,0.0254,0.169,0.00727,0.0412,0.00298,0.0168,0.1,0.00199,0.00705,0.00221,0.000816,0.07,0.0035,0.0229,0.00397,0.0369,0.0372,0.0624,0.0979,'Grade 2'
'Medial Tibia of G2_16.jpg',0.0759,0.00211,0.0233,0.00105,0.0698,0.0687,0.00175,0.00539,0.00121,0.00214,0.132,0.00566,0.0188,0.0028,0.0455,0.182,0.000594,0.0715,0.00434,0.0314,0.157,0.00421,0.0343,0.0022,0.0124,0.0988,0.00392,0.00745,0.00405,0.00204,0.0742,0.0041,0.0255,0.000975,0.0464,0.0403,0.0664,0.104,'Grade 2'
'Medial Tibia of G2_17.jpg',0.0755,0.001,0.0342,0.00169,0.0692,0.0643,0.00532,0.00502,0.0044,0.00184,0.131,0.00205,0.0224,0.00115,0.0409,0.209,0.00328,0.0929,0.00313,0.0439,0.164,0.00363,0.036,0.00311,0.0155,0.0964,0.0058,0.00832,0.00171,0.00786,0.0688,0.00398,0.0301,0.00269,0.0431,0.0356,0.06,0.0955,'Grade 2'
'Medial Tibia of G2_18.jpg',0.076,0.00187,0.0426,0.00244,0.0697,0.0599,0.00345,0.00859,0.00051,0.00316,0.135,0.00265,0.0264,0.0053,0.0371,0.206,0.00418,0.0958,0.00617,0.0161,0.164,0.00238,0.0563,0.000355,0.0326,0.0924,0.00225,0.012,0.00265,0.00673,0.0752,0.00159,0.0418,0.00103,0.0536,0.037,0.0609,0.0935,'Grade 2'
'Medial Tibia of G2_19.jpg',0.0793,0.00183,0.036,0.00261,0.0717,0.068,0.00134,0.0118,0.00166,0.00592,0.138,0.00796,0.0227,0.00589,0.042,0.181,0.0085,0.0824,0.0101,0.0469,0.149,0.00206,0.0346,0.00552,0.00582,0.0976,0.0023,0.0118,0.00263,0.0115,0.0727,0.00255,0.0312,0.0021,0.0466,0.0407,0.0652,0.109,'Grade 2'
'Medial Tibia of G2_2.jpg',0.0804,0.00334,0.0397,0.00227,0.0716,0.0684,0.00153,0.0103,0.00307,0.000612,0.125,0.00398,0.0224,0.00328,0.0384,0.194,0.00387,0.0882,0.0078,0.0492,0.156,0.00231,0.0333,0.00721,0.013,0.0987,0.000839,0.0142,0.00291,0.00378,0.0757,0.00386,0.0289,0.000992,0.0488,0.0393,0.0598,0.103,'Grade 2'
'Medial Tibia of G2_20.jpg',0.0767,0.00353,0.0287,0.00334,0.0667,0.0672,0.00198,0.00718,0.00377,0.000102,0.135,0.00747,0.0195,0.00315,0.0344,0.181,0.00677,0.0582,0.0102,0.0282,0.15,0.00344,0.0279,0.00229,0.00939,0.0953,0.00274,0.00944,0.00283,0.00184,0.0802,0.00312,0.0273,0.00281,0.0514,0.0436,0.063,0.107,'Grade 2'
'Medial Tibia of G2_21.jpg',0.0741,0.00457,0.0357,0.00414,0.0688,0.0637,0.00349,0.00807,0.00338,0.00959,0.128,0.00225,0.0222,0.00343,0.0541,0.216,0.00187,0.108,0.00447,0.0526,0.165,0.00178,0.0546,0.00397,0.0317,0.0941,0.00182,0.00977,0.00577,0.00735,0.0759,0.00146,0.0333,0.000605,0.0433,0.0318,0.0599,0.0917,'Grade 2'
'Medial Tibia of G2_3.jpg',0.0857,0.00113,0.0551,0.000988,0.0812,0.0584,0.00335,0.0114,0.00302,0.0049,0.132,0.00283,0.03,0.00304,0.0332,0.207,0.0058,0.101,0.00775,0.0243,0.154,0.00512,0.0517,0.0108,0.0303,0.0896,0.0015,0.0156,0.00441,0.00184,0.0833,0.00241,0.0446,0.00335,0.0573,0.0347,0.0589,0.0969,'Grade 2'
'Medial Tibia of G2_4.jpg',0.0478,0.00321,0.0225,0.00344,0.0453,0.0554,0.00362,0.00835,0.00116,0.00459,0.152,0.00206,0.0224,0.00437,0.0476,0.264,0.00861,0.118,0.00991,0.0367,0.2,0.004,0.0632,0.00333,0.048,0.0922,0.00096,0.0117,0.0027,0.0049,0.0531,0.000369,0.0215,0.00155,0.0288,0.0207,0.0457,0.069,'Grade 2'
'Medial Tibia of G2_5.jpg',0.0595,0.00166,0.0153,0.00193,0.0572,0.0572,0.001,0.00513,0.00109,0.00357,0.142,0.00149,0.0198,0.00181,0.069,0.224,0.0108,0.0696,0.0087,0.0309,0.185,0.00234,0.0361,0.00149,0.0333,0.103,0.00274,0.00432,0.00106,0.00286,0.0593,0.00182,0.011,0.00177,0.0252,0.0238,0.0598,0.0857,'Grade 2'
'Medial Tibia of G2_6.jpg',0.0692,0.00469,0.0242,0.00372,0.0649,0.0625,0.0044,0.0042,0.000546,0.00316,0.137,0.00351,0.023,0.00305,0.054,0.194,0.0101,0.0868,0.00947,0.0398,0.16,0.00602,0.0425,0.00469,0.0301,0.102,0.00196,0.00347,0.00274,0.00653,0.0753,0.00286,0.0211,0.00197,0.0431,0.0381,0.0621,0.0992,'Grade 2'
'Medial Tibia of G2_7.jpg',0.0721,0.00111,0.0103,0.00268,0.0646,0.0701,0.00573,0.00918,0.00111,0.0105,0.147,0.00244,0.0257,0.00488,0.0358,0.188,0.00624,0.057,0.00793,0.0268,0.16,0.00294,0.0315,0.00219,0.00357,0.102,0.0051,0.00996,0.00329,0.00714,0.0699,0.00218,0.00863,0.00111,0.0468,0.0399,0.0548,0.0954,'Grade 2'
'Medial Tibia of G2_8.jpg',0.119,0.00451,0.0752,0.00422,0.106,0.0646,0.000483,0.0126,0.0022,0.00357,0.0921,0.00191,0.015,0.00345,0.0297,0.131,0.00691,0.0633,0.00347,0.0169,0.1,0.00338,0.0276,0.00231,0.0141,0.0858,0.00433,0.013,0.0006,0.00459,0.112,0.00158,0.0744,0.00158,0.0862,0.0595,0.0892,0.146,'Grade 2'
