File,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,class
Medial Tibia of Normal_2.jpg,3.62E-01,2.74E-01,3.77E-01,2.84E+01,8.63E-01,1.07E+01,1.14E+02,1.00E+00,1.72E+00,2.21E-01,5.87E-01,-1.10E-01,4.26E-01,2.61E-01,Nor
Medial Tibia of Normal_20.jpg,5.64E-01,1.54E-01,5.38E-01,2.64E+01,9.23E-01,1.03E+01,1.06E+02,8.59E-01,1.39E+00,1.31E-01,4.30E-01,-2.43E-01,5.66E-01,1.97E-01,Nor
Medial Tibia of Normal_21.jpg,3.91E-01,2.15E-01,5.45E-01,2.81E+01,8.93E-01,1.06E+01,1.13E+02,1.07E+00,1.76E+00,1.77E-01,5.20E-01,-2.28E-01,6.04E-01,2.81E-01,Nor
Medial Tibia of Normal_22.jpg,3.12E-01,2.27E-01,6.34E-01,2.14E+01,8.87E-01,9.22E+00,8.61E+01,1.25E+00,2.04E+00,1.86E-01,5.37E-01,-2.92E-01,7.08E-01,3.46E-01,Nor
Medial Tibia of Normal_23.jpg,6.60E-01,1.27E-01,4.63E-01,2.39E+01,9.37E-01,9.77E+00,9.59E+01,6.68E-01,1.09E+00,1.11E-01,3.80E-01,-2.02E-01,4.66E-01,1.68E-01,Nor
Medial Tibia of Normal_24.jpg,2.58E-01,3.14E-01,5.79E-01,2.84E+01,8.45E-01,1.06E+01,1.14E+02,1.42E+00,2.37E+00,2.52E-01,6.28E-01,-2.18E-01,6.64E-01,2.85E-01,Nor
Medial Tibia of Normal_25.jpg,6.07E-01,1.48E-01,4.57E-01,2.36E+01,9.26E-01,9.71E+00,9.47E+01,7.36E-01,1.21E+00,1.27E-01,4.19E-01,-1.84E-01,4.66E-01,1.87E-01,Nor
Medial Tibia of Normal_26.jpg,5.11E-01,1.79E-01,4.93E-01,1.77E+01,9.10E-01,8.40E+00,7.10E+01,8.82E-01,1.45E+00,1.50E-01,4.70E-01,-2.01E-01,5.26E-01,2.23E-01,Nor
Medial Tibia of Normal_27.jpg,3.67E-01,2.23E-01,5.16E-01,2.88E+01,8.89E-01,1.07E+01,1.16E+02,1.02E+00,1.69E+00,1.83E-01,5.30E-01,-2.06E-01,5.67E-01,3.09E-01,Nor
Medial Tibia of Normal_28.jpg,3.32E-01,2.30E-01,5.69E-01,2.15E+01,8.85E-01,9.25E+00,8.63E+01,1.15E+00,1.88E+00,1.88E-01,5.40E-01,-2.46E-01,6.40E-01,3.30E-01,Nor
Medial Tibia of Normal_29.jpg,3.40E-01,2.20E-01,5.57E-01,1.96E+01,8.90E-01,8.83E+00,7.88E+01,1.08E+00,1.77E+00,1.80E-01,5.26E-01,-2.37E-01,6.15E-01,3.47E-01,Nor
Medial Tibia of Normal_3.jpg,8.01E-01,8.65E-02,3.14E-01,1.60E+01,9.57E-01,8.01E+00,6.43E+01,4.63E-01,7.54E-01,8.05E-02,2.94E-01,-1.26E-01,3.10E-01,8.02E-02,Nor
Medial Tibia of Normal_30.jpg,4.93E-01,1.87E-01,5.75E-01,2.57E+01,9.06E-01,1.01E+01,1.03E+02,1.05E+00,1.70E+00,1.56E-01,4.82E-01,-2.62E-01,6.33E-01,1.74E-01,Nor
Medial Tibia of Normal_31.jpg,3.63E-01,2.02E-01,5.75E-01,2.13E+01,8.99E-01,9.22E+00,8.58E+01,1.03E+00,1.68E+00,1.67E-01,5.04E-01,-2.56E-01,6.25E-01,3.38E-01,Nor
Medial Tibia of Normal_32.jpg,4.47E-01,1.50E-01,6.46E-01,2.82E+01,9.25E-01,1.06E+01,1.13E+02,9.22E-01,1.48E+00,1.28E-01,4.24E-01,-3.37E-01,6.71E-01,2.97E-01,Nor
Medial Tibia of Normal_33.jpg,5.38E-01,1.61E-01,5.18E-01,2.31E+01,9.20E-01,9.61E+00,9.28E+01,8.26E-01,1.35E+00,1.36E-01,4.41E-01,-2.27E-01,5.41E-01,2.21E-01,Nor
Medial Tibia of Normal_34.jpg,4.24E-01,1.96E-01,5.32E-01,2.81E+01,9.02E-01,1.06E+01,1.13E+02,9.51E-01,1.57E+00,1.63E-01,4.95E-01,-2.24E-01,5.72E-01,2.78E-01,Nor
Medial Tibia of Normal_35.jpg,4.74E-01,1.76E-01,5.49E-01,1.80E+01,9.12E-01,8.48E+00,7.25E+01,9.26E-01,1.51E+00,1.48E-01,4.66E-01,-2.42E-01,5.84E-01,2.51E-01,Nor
Medial Tibia of Normal_36.jpg,3.44E-01,2.30E-01,6.53E-01,2.41E+01,8.85E-01,9.79E+00,9.69E+01,1.30E+00,2.10E+00,1.88E-01,5.39E-01,-3.13E-01,7.36E-01,2.21E-01,Nor
Medial Tibia of Normal_37.jpg,4.38E-01,1.96E-01,5.17E-01,2.23E+01,9.02E-01,9.44E+00,8.97E+01,9.34E-01,1.54E+00,1.63E-01,4.95E-01,-2.13E-01,5.55E-01,2.67E-01,Nor
Medial Tibia of Normal_38.jpg,4.09E-01,1.99E-01,6.04E-01,2.28E+01,9.00E-01,9.53E+00,9.17E+01,1.11E+00,1.81E+00,1.65E-01,4.99E-01,-2.81E-01,6.68E-01,2.58E-01,Nor
Medial Tibia of Normal_39.jpg,6.82E-01,8.62E-02,6.68E-01,2.42E+01,9.57E-01,9.85E+00,9.74E+01,6.89E-01,1.08E+00,8.03E-02,2.94E-01,-4.03E-01,6.48E-01,1.57E-01,Nor
Medial Tibia of Normal_4.jpg,8.66E-01,4.82E-02,4.56E-01,3.64E+01,9.76E-01,1.21E+01,1.46E+02,3.09E-01,4.94E-01,5.18E-02,1.93E-01,-2.32E-01,3.49E-01,1.04E-01,Nor
Medial Tibia of Normal_40.jpg,6.12E-01,1.28E-01,5.45E-01,2.35E+01,9.36E-01,9.69E+00,9.44E+01,7.31E-01,1.18E+00,1.12E-01,3.83E-01,-2.57E-01,5.43E-01,1.97E-01,Nor
Medial Tibia of Normal_41.jpg,3.52E-01,2.27E-01,5.21E-01,2.14E+01,8.86E-01,9.23E+00,8.60E+01,1.04E+00,1.73E+00,1.86E-01,5.36E-01,-2.08E-01,5.75E-01,3.22E-01,Nor
Medial Tibia of Normal_42.jpg,4.55E-01,1.74E-01,5.97E-01,1.43E+01,9.13E-01,7.53E+00,5.75E+01,9.93E-01,1.61E+00,1.46E-01,4.62E-01,-2.91E-01,6.49E-01,2.54E-01,Nor
Medial Tibia of Normal_43.jpg,4.24E-01,2.13E-01,5.51E-01,2.69E+01,8.94E-01,1.04E+01,1.08E+02,1.10E+00,1.80E+00,1.76E-01,5.19E-01,-2.33E-01,6.14E-01,2.33E-01,Nor
Medial Tibia of Normal_44.jpg,5.96E-01,1.18E-01,6.34E-01,2.64E+01,9.41E-01,1.03E+01,1.06E+02,8.06E-01,1.28E+00,1.04E-01,3.62E-01,-3.44E-01,6.42E-01,1.97E-01,Nor
Medial Tibia of Normal_45.jpg,7.57E-01,9.35E-02,4.21E-01,2.42E+01,9.53E-01,9.85E+00,9.72E+01,5.07E-01,8.25E-01,8.57E-02,3.10E-01,-1.81E-01,3.90E-01,1.37E-01,Nor
Medial Tibia of Normal_46.jpg,3.45E-01,1.93E-01,6.51E-01,2.12E+01,9.03E-01,9.18E+00,8.52E+01,1.15E+00,1.86E+00,1.60E-01,4.91E-01,-3.21E-01,7.13E-01,3.63E-01,Nor
Medial Tibia of Normal_47.jpg,4.95E-01,1.64E-01,5.80E-01,2.30E+01,9.18E-01,9.58E+00,9.24E+01,9.33E-01,1.51E+00,1.39E-01,4.46E-01,-2.73E-01,6.16E-01,2.38E-01,Nor
Medial Tibia of Normal_48.jpg,5.95E-01,1.61E-01,4.56E-01,2.41E+01,9.20E-01,9.81E+00,9.67E+01,8.17E-01,1.34E+00,1.36E-01,4.41E-01,-1.85E-01,4.89E-01,1.68E-01,Nor
Medial Tibia of Normal_49.jpg,4.18E-01,1.56E-01,6.79E-01,1.87E+01,9.22E-01,8.63E+00,7.52E+01,1.04E+00,1.65E+00,1.32E-01,4.32E-01,-3.63E-01,7.21E-01,3.10E-01,Nor
Medial Tibia of Normal_5.jpg,5.42E-01,1.60E-01,5.30E-01,2.68E+01,9.20E-01,1.03E+01,1.08E+02,8.59E-01,1.40E+00,1.35E-01,4.39E-01,-2.34E-01,5.56E-01,2.13E-01,Nor
Medial Tibia of Normal_50.jpg,6.31E-01,1.22E-01,5.65E-01,2.61E+01,9.39E-01,1.02E+01,1.05E+02,7.53E-01,1.21E+00,1.07E-01,3.71E-01,-2.79E-01,5.69E-01,1.79E-01,Nor
Medial Tibia of Normal_51.jpg,7.25E-01,1.00E-01,4.92E-01,2.43E+01,9.50E-01,9.87E+00,9.77E+01,5.97E-01,9.62E-01,9.10E-02,3.26E-01,-2.34E-01,4.74E-01,1.42E-01,Nor
Medial Tibia of Normal_52.jpg,7.20E-01,1.01E-01,4.88E-01,2.41E+01,9.50E-01,9.83E+00,9.70E+01,5.88E-01,9.50E-01,9.11E-02,3.26E-01,-2.28E-01,4.66E-01,1.50E-01,Nor
Medial Tibia of Normal_53.jpg,6.91E-01,1.35E-01,3.24E-01,1.66E+01,9.33E-01,8.15E+00,6.68E+01,6.24E-01,1.03E+00,1.17E-01,3.96E-01,-1.10E-01,3.37E-01,1.35E-01,Nor
Medial Tibia of Normal_54.jpg,4.75E-01,1.65E-01,5.76E-01,3.30E+01,9.17E-01,1.15E+01,1.32E+02,8.97E-01,1.46E+00,1.40E-01,4.48E-01,-2.70E-01,6.05E-01,2.62E-01,Nor
Medial Tibia of Normal_55.jpg,4.62E-01,1.64E-01,6.01E-01,2.25E+01,9.18E-01,9.48E+00,9.04E+01,9.42E-01,1.52E+00,1.39E-01,4.47E-01,-2.89E-01,6.34E-01,2.68E-01,Nor
Medial Tibia of Normal_56.jpg,7.56E-01,8.69E-02,4.78E-01,1.66E+01,9.57E-01,8.16E+00,6.69E+01,5.05E-01,8.16E-01,8.08E-02,2.95E-01,-2.23E-01,4.30E-01,1.44E-01,Nor
Medial Tibia of Normal_57.jpg,2.80E-01,3.21E-01,5.17E-01,2.26E+01,8.42E-01,9.46E+00,9.05E+01,1.35E+00,2.27E+00,2.57E-01,6.34E-01,-1.79E-01,6.00E-01,2.60E-01,Nor
Medial Tibia of Normal_58.jpg,4.15E-01,2.11E-01,6.23E-01,2.46E+01,8.95E-01,9.90E+00,9.88E+01,1.20E+00,1.94E+00,1.74E-01,5.15E-01,-2.88E-01,6.93E-01,1.84E-01,Nor
Medial Tibia of Normal_59.jpg,6.85E-01,1.21E-01,4.44E-01,3.70E+01,9.39E-01,1.22E+01,1.49E+02,6.49E-01,1.06E+00,1.07E-01,3.69E-01,-1.89E-01,4.45E-01,1.54E-01,Nor
Medial Tibia of Normal_6.jpg,5.32E-01,1.67E-01,5.74E-01,2.51E+01,9.16E-01,1.00E+01,1.01E+02,9.76E-01,1.58E+00,1.41E-01,4.52E-01,-2.71E-01,6.24E-01,1.52E-01,Nor
Medial Tibia of Normal_60.jpg,4.42E-01,1.74E-01,5.87E-01,3.27E+01,9.13E-01,1.14E+01,1.31E+02,9.58E-01,1.56E+00,1.46E-01,4.63E-01,-2.75E-01,6.26E-01,2.77E-01,Nor
Medial Tibia of Normal_61.jpg,6.72E-01,8.21E-02,6.81E-01,2.64E+01,9.59E-01,1.03E+01,1.06E+02,6.43E-01,1.01E+00,7.72E-02,2.84E-01,-4.05E-01,6.34E-01,1.85E-01,Nor
Medial Tibia of Normal_62.jpg,5.57E-01,1.43E-01,5.55E-01,1.77E+01,9.29E-01,8.40E+00,7.11E+01,7.73E-01,1.26E+00,1.23E-01,4.10E-01,-2.60E-01,5.59E-01,2.24E-01,Nor
Medial Tibia of Normal_63.jpg,7.44E-01,9.58E-02,4.71E-01,1.62E+01,9.52E-01,8.05E+00,6.51E+01,5.81E-01,9.34E-01,8.75E-02,3.16E-01,-2.26E-01,4.60E-01,1.18E-01,Nor
Medial Tibia of Normal_7.jpg,3.82E-01,1.81E-01,6.26E-01,2.16E+01,9.10E-01,9.27E+00,8.68E+01,1.04E+00,1.69E+00,1.51E-01,4.73E-01,-3.05E-01,6.74E-01,3.35E-01,Nor
Medial Tibia of Normal_8.jpg,5.12E-01,1.62E-01,5.90E-01,2.67E+01,9.19E-01,1.03E+01,1.07E+02,9.54E-01,1.54E+00,1.37E-01,4.43E-01,-2.82E-01,6.29E-01,2.17E-01,Nor
Medial Tibia of Normal_9.jpg,5.01E-01,1.87E-01,4.79E-01,2.30E+01,9.06E-01,9.59E+00,9.26E+01,8.91E-01,1.47E+00,1.56E-01,4.82E-01,-1.95E-01,5.22E-01,2.23E-01,Nor
Medial Tibia of OA_1.jpg,3.99E-01,1.92E-01,5.90E-01,2.21E+01,9.04E-01,9.38E+00,8.88E+01,1.04E+00,1.70E+00,1.60E-01,4.89E-01,-2.72E-01,6.43E-01,2.96E-01,OA
Medial Tibia of OA_10.jpg,9.02E-01,3.62E-02,4.38E-01,1.60E+01,9.82E-01,8.02E+00,6.45E+01,2.62E-01,4.14E-01,4.28E-02,1.56E-01,-2.44E-01,3.29E-01,7.34E-02,OA
Medial Tibia of OA_11.jpg,3.06E-01,2.61E-01,4.94E-01,1.23E+01,8.69E-01,6.96E+00,4.92E+01,1.13E+00,1.89E+00,2.12E-01,5.75E-01,-1.81E-01,5.60E-01,3.44E-01,OA
Medial Tibia of OA_12.jpg,6.74E-01,1.26E-01,4.47E-01,1.67E+01,9.37E-01,8.18E+00,6.72E+01,6.69E-01,1.09E+00,1.10E-01,3.78E-01,-1.88E-01,4.50E-01,1.57E-01,OA
Medial Tibia of OA_13.jpg,8.19E-01,7.26E-02,3.77E-01,1.63E+01,9.64E-01,8.08E+00,6.55E+01,4.13E-01,6.69E-01,7.01E-02,2.60E-01,-1.64E-01,3.36E-01,1.07E-01,OA
Medial Tibia of OA_14.jpg,3.39E-01,2.73E-01,5.78E-01,1.64E+01,8.64E-01,8.06E+00,6.60E+01,1.32E+00,2.19E+00,2.21E-01,5.89E-01,-2.31E-01,6.59E-01,1.86E-01,OA
Medial Tibia of OA_15.jpg,3.89E-01,1.84E-01,6.12E-01,2.86E+01,9.08E-01,1.07E+01,1.15E+02,1.04E+00,1.68E+00,1.54E-01,4.78E-01,-2.92E-01,6.61E-01,3.20E-01,OA
Medial Tibia of OA_16.jpg,2.86E-01,2.71E-01,5.73E-01,3.04E+01,8.65E-01,1.10E+01,1.22E+02,1.29E+00,2.14E+00,2.19E-01,5.86E-01,-2.28E-01,6.50E-01,3.41E-01,OA
Medial Tibia of OA_17.jpg,3.74E-01,1.67E-01,7.34E-01,7.88E+00,9.17E-01,5.53E+00,3.17E+01,1.21E+00,1.91E+00,1.41E-01,4.51E-01,-4.12E-01,7.93E-01,2.92E-01,OA
Medial Tibia of OA_18.jpg,3.03E-01,2.56E-01,5.47E-01,1.98E+01,8.72E-01,8.87E+00,7.96E+01,1.21E+00,2.00E+00,2.08E-01,5.70E-01,-2.16E-01,6.20E-01,3.44E-01,OA
Medial Tibia of OA_19.jpg,3.44E-01,2.42E-01,5.25E-01,2.18E+01,8.79E-01,9.31E+00,8.74E+01,1.13E+00,1.88E+00,1.97E-01,5.54E-01,-2.06E-01,5.91E-01,3.03E-01,OA
Medial Tibia of OA_2.jpg,6.44E-01,1.03E-01,6.28E-01,2.37E+01,9.49E-01,9.74E+00,9.54E+01,7.15E-01,1.13E+00,9.26E-02,3.31E-01,-3.45E-01,6.14E-01,1.85E-01,OA
Medial Tibia of OA_20.jpg,3.88E-01,1.90E-01,5.86E-01,1.90E+01,9.05E-01,8.70E+00,7.65E+01,1.00E+00,1.64E+00,1.58E-01,4.87E-01,-2.69E-01,6.32E-01,3.19E-01,OA
Medial Tibia of OA_21.jpg,2.96E-01,3.39E-01,4.33E-01,1.09E+01,8.31E-01,6.54E+00,4.36E+01,1.28E+00,2.19E+00,2.70E-01,6.44E-01,-1.33E-01,5.18E-01,2.45E-01,OA
Medial Tibia of OA_22.jpg,4.33E-01,2.14E-01,4.89E-01,2.76E+01,8.93E-01,1.05E+01,1.11E+02,9.97E-01,1.65E+00,1.77E-01,5.21E-01,-1.88E-01,5.39E-01,2.50E-01,OA
Medial Tibia of OA_23.jpg,6.03E-01,1.40E-01,5.03E-01,2.35E+01,9.30E-01,9.69E+00,9.43E+01,7.40E-01,1.21E+00,1.21E-01,4.05E-01,-2.21E-01,5.09E-01,1.96E-01,OA
Medial Tibia of OA_24.jpg,4.45E-01,1.81E-01,5.56E-01,2.80E+01,9.10E-01,1.06E+01,1.12E+02,9.24E-01,1.51E+00,1.51E-01,4.73E-01,-2.48E-01,5.90E-01,2.74E-01,OA
Medial Tibia of OA_25.jpg,3.17E-01,2.09E-01,6.91E-01,3.14E+01,8.96E-01,1.12E+01,1.26E+02,1.30E+00,2.08E+00,1.72E-01,5.13E-01,-3.46E-01,7.63E-01,3.51E-01,OA
Medial Tibia of OA_26.jpg,5.70E-01,1.54E-01,5.69E-01,8.94E+00,9.23E-01,5.95E+00,3.60E+01,9.16E-01,1.47E+00,1.31E-01,4.30E-01,-2.72E-01,6.09E-01,1.48E-01,OA
Medial Tibia of OA_27.jpg,4.05E-01,1.34E-01,7.22E-01,6.93E+00,9.33E-01,5.21E+00,2.79E+01,9.76E-01,1.54E+00,1.16E-01,3.93E-01,-4.21E-01,7.48E-01,3.70E-01,OA
Medial Tibia of OA_28.jpg,3.62E-01,1.64E-01,6.94E-01,1.29E+01,9.18E-01,7.14E+00,5.18E+01,1.09E+00,1.74E+00,1.38E-01,4.46E-01,-3.76E-01,7.44E-01,3.90E-01,OA
Medial Tibia of OA_29.jpg,6.13E-01,1.03E-01,6.59E-01,1.01E+01,9.48E-01,6.33E+00,4.05E+01,7.41E-01,1.17E+00,9.31E-02,3.32E-01,-3.74E-01,6.46E-01,2.05E-01,OA
Medial Tibia of OA_3.jpg,3.83E-01,1.96E-01,5.73E-01,3.19E+01,9.02E-01,1.13E+01,1.28E+02,1.00E+00,1.64E+00,1.63E-01,4.95E-01,-2.57E-01,6.19E-01,3.19E-01,OA
Medial Tibia of OA_30.jpg,5.02E-01,1.23E-01,6.86E-01,7.59E+00,9.39E-01,5.47E+00,3.06E+01,8.50E-01,1.35E+00,1.08E-01,3.72E-01,-3.88E-01,6.91E-01,2.72E-01,OA
Medial Tibia of OA_31.jpg,4.29E-01,1.83E-01,6.37E-01,2.70E+01,9.09E-01,1.04E+01,1.08E+02,1.11E+00,1.78E+00,1.53E-01,4.76E-01,-3.14E-01,6.97E-01,2.42E-01,OA
Medial Tibia of OA_32.jpg,5.09E-01,1.56E-01,6.41E-01,8.68E+00,9.22E-01,5.85E+00,3.49E+01,1.01E+00,1.62E+00,1.33E-01,4.33E-01,-3.34E-01,6.91E-01,1.84E-01,OA
Medial Tibia of OA_33.jpg,5.87E-01,1.61E-01,4.77E-01,2.59E+01,9.19E-01,1.02E+01,1.04E+02,8.41E-01,1.37E+00,1.37E-01,4.42E-01,-2.01E-01,5.15E-01,1.66E-01,OA
Medial Tibia of OA_34.jpg,8.40E-01,5.04E-02,5.56E-01,2.44E+01,9.75E-01,9.90E+00,9.82E+01,3.71E-01,5.86E-01,5.34E-02,2.00E-01,-3.14E-01,4.43E-01,1.15E-01,OA
Medial Tibia of OA_35.jpg,5.51E-01,1.35E-01,6.28E-01,8.18E+00,9.32E-01,5.69E+00,3.29E+01,8.82E-01,1.41E+00,1.17E-01,3.96E-01,-3.29E-01,6.52E-01,2.11E-01,OA
Medial Tibia of OA_36.jpg,4.03E-01,1.55E-01,6.79E-01,7.19E+00,9.22E-01,5.30E+00,2.89E+01,1.02E+00,1.63E+00,1.32E-01,4.32E-01,-3.66E-01,7.21E-01,3.33E-01,OA
Medial Tibia of OA_37.jpg,6.30E-01,9.17E-02,6.86E-01,2.66E+01,9.54E-01,1.03E+01,1.07E+02,7.03E-01,1.11E+00,8.44E-02,3.06E-01,-4.08E-01,6.58E-01,2.03E-01,OA
Medial Tibia of OA_38.jpg,3.13E-01,3.03E-01,5.56E-01,1.69E+01,8.50E-01,8.17E+00,6.79E+01,1.37E+00,2.28E+00,2.43E-01,6.18E-01,-2.06E-01,6.39E-01,1.99E-01,OA
Medial Tibia of OA_39.jpg,3.51E-01,1.73E-01,6.92E-01,6.73E+00,9.14E-01,5.11E+00,2.71E+01,1.14E+00,1.82E+00,1.45E-01,4.60E-01,-3.67E-01,7.47E-01,3.93E-01,OA
Medial Tibia of OA_4.jpg,7.71E-01,8.90E-02,4.34E-01,2.48E+01,9.55E-01,9.98E+00,9.99E+01,5.31E-01,8.55E-01,8.24E-02,3.00E-01,-2.03E-01,4.19E-01,9.96E-02,OA
Medial Tibia of OA_40.jpg,6.24E-01,9.38E-02,6.79E-01,8.04E+00,9.53E-01,5.65E+00,3.24E+01,6.92E-01,1.09E+00,8.59E-02,3.11E-01,-3.95E-01,6.45E-01,2.09E-01,OA
Medial Tibia of OA_41.jpg,7.29E-01,9.90E-02,4.76E-01,1.66E+01,9.50E-01,8.15E+00,6.67E+01,5.75E-01,9.29E-01,8.99E-02,3.23E-01,-2.23E-01,4.56E-01,1.45E-01,OA
Medial Tibia of OA_42.jpg,4.88E-01,1.66E-01,5.97E-01,2.32E+01,9.17E-01,9.62E+00,9.32E+01,9.73E-01,1.57E+00,1.40E-01,4.50E-01,-2.87E-01,6.40E-01,2.32E-01,OA
Medial Tibia of OA_43.jpg,4.64E-01,1.83E-01,5.37E-01,2.26E+01,9.09E-01,9.49E+00,9.07E+01,9.28E-01,1.52E+00,1.53E-01,4.76E-01,-2.31E-01,5.73E-01,2.55E-01,OA
Medial Tibia of OA_44.jpg,3.83E-01,2.56E-01,5.21E-01,2.40E+01,8.72E-01,9.77E+00,9.62E+01,1.20E+00,1.99E+00,2.08E-01,5.70E-01,-1.98E-01,5.95E-01,2.06E-01,OA
Medial Tibia of OA_45.jpg,3.94E-01,1.70E-01,6.55E-01,1.91E+01,9.15E-01,8.70E+00,7.66E+01,1.05E+00,1.69E+00,1.43E-01,4.56E-01,-3.33E-01,7.01E-01,3.27E-01,OA
Medial Tibia of OA_46.jpg,7.36E-01,6.85E-02,6.59E-01,1.51E+01,9.66E-01,7.78E+00,6.08E+01,5.28E-01,8.30E-01,6.70E-02,2.50E-01,-3.92E-01,5.77E-01,1.63E-01,OA
Medial Tibia of OA_47.jpg,7.60E-01,7.41E-02,5.79E-01,9.46E+00,9.63E-01,6.15E+00,3.81E+01,5.19E-01,8.23E-01,7.12E-02,2.64E-01,-3.25E-01,5.23E-01,1.43E-01,OA
Medial Tibia of OA_48.jpg,4.17E-01,1.74E-01,6.90E-01,1.73E+01,9.13E-01,8.29E+00,6.97E+01,1.17E+00,1.86E+00,1.46E-01,4.62E-01,-3.65E-01,7.51E-01,2.31E-01,OA
Medial Tibia of OA_49.jpg,5.54E-01,1.98E-01,3.59E-01,1.50E+01,9.01E-01,7.74E+00,6.04E+01,8.43E-01,1.42E+00,1.64E-01,4.98E-01,-1.13E-01,3.95E-01,1.74E-01,OA
Medial Tibia of OA_5.jpg,6.36E-01,1.34E-01,5.08E-01,1.55E+01,9.33E-01,7.88E+00,6.25E+01,7.69E-01,1.24E+00,1.16E-01,3.95E-01,-2.39E-01,5.35E-01,1.51E-01,OA
Medial Tibia of OA_50.jpg,5.23E-01,1.61E-01,5.43E-01,3.84E+01,9.19E-01,1.24E+01,1.54E+02,8.69E-01,1.41E+00,1.37E-01,4.42E-01,-2.43E-01,5.69E-01,2.28E-01,OA
Medial Tibia of OA_51.jpg,9.07E-01,4.21E-02,2.13E-01,3.59E+01,9.79E-01,1.20E+01,1.44E+02,2.41E-01,3.89E-01,4.72E-02,1.74E-01,-8.23E-02,1.81E-01,5.34E-02,OA
Medial Tibia of OA_52.jpg,6.57E-01,1.12E-01,5.51E-01,3.44E+01,9.44E-01,1.17E+01,1.38E+02,6.74E-01,1.08E+00,9.97E-02,3.51E-01,-2.71E-01,5.36E-01,1.81E-01,OA
Medial Tibia of OA_53.jpg,5.41E-01,2.12E-01,3.56E-01,2.42E+01,8.95E-01,9.85E+00,9.74E+01,8.99E-01,1.51E+00,1.74E-01,5.17E-01,-1.15E-01,4.11E-01,1.47E-01,OA
Medial Tibia of OA_54.jpg,8.55E-01,5.72E-02,3.83E-01,3.55E+01,9.71E-01,1.19E+01,1.43E+02,3.48E-01,5.60E-01,5.85E-02,2.19E-01,-1.80E-01,3.24E-01,9.35E-02,OA
Medial Tibia of OA_55.jpg,6.65E-01,1.26E-01,4.71E-01,2.41E+01,9.37E-01,9.82E+00,9.68E+01,6.90E-01,1.12E+00,1.10E-01,3.78E-01,-2.08E-01,4.79E-01,1.59E-01,OA
Medial Tibia of OA_56.jpg,7.29E-01,1.05E-01,4.53E-01,2.51E+01,9.48E-01,1.00E+01,1.01E+02,6.08E-01,9.82E-01,9.43E-02,3.36E-01,-2.17E-01,4.62E-01,1.07E-01,OA
