@relation 'LBP_hf Tibia Literal ROI '

@attribute File {'Literal Tibia of Normal_1.jpg','Literal Tibia of Normal_10.jpg','Literal Tibia of Normal_11.jpg','Literal Tibia of Normal_12.jpg','Literal Tibia of Normal_13.jpg','Literal Tibia of Normal_14.jpg','Literal Tibia of Normal_15.jpg','Literal Tibia of Normal_16.jpg','Literal Tibia of Normal_17.jpg','Literal Tibia of Normal_18.jpg','Literal Tibia of Normal_19.jpg','Literal Tibia of Normal_2.jpg','Literal Tibia of Normal_20.jpg','Literal Tibia of Normal_21.jpg','Literal Tibia of Normal_22.jpg','Literal Tibia of Normal_23.jpg','Literal Tibia of Normal_24.jpg','Literal Tibia of Normal_25.jpg','Literal Tibia of Normal_26.jpg','Literal Tibia of Normal_27.jpg','Literal Tibia of Normal_28.jpg','Literal Tibia of Normal_29.jpg','Literal Tibia of Normal_3.jpg','Literal Tibia of Normal_30.jpg','Literal Tibia of Normal_31.jpg','Literal Tibia of Normal_32.jpg','Literal Tibia of Normal_33.jpg','Literal Tibia of Normal_34.jpg','Literal Tibia of Normal_35.jpg','Literal Tibia of Normal_36.jpg','Literal Tibia of Normal_37.jpg','Literal Tibia of Normal_38.jpg','Literal Tibia of Normal_39.jpg','Literal Tibia of Normal_4.jpg','Literal Tibia of Normal_40.jpg','Literal Tibia of Normal_41.jpg','Literal Tibia of Normal_42.jpg','Literal Tibia of Normal_43.jpg','Literal Tibia of Normal_44.jpg','Literal Tibia of Normal_45.jpg','Literal Tibia of Normal_46.jpg','Literal Tibia of Normal_47.jpg','Literal Tibia of Normal_48.jpg','Literal Tibia of Normal_49.jpg','Literal Tibia of Normal_5.jpg','Literal Tibia of Normal_50.jpg','Literal Tibia of Normal_51.jpg','Literal Tibia of Normal_52.jpg','Literal Tibia of Normal_53.jpg','Literal Tibia of Normal_54.jpg','Literal Tibia of Normal_55.jpg','Literal Tibia of Normal_56.jpg','Literal Tibia of Normal_57.jpg','Literal Tibia of Normal_58.jpg','Literal Tibia of Normal_59.jpg','Literal Tibia of Normal_6.jpg','Literal Tibia of Normal_60.jpg','Literal Tibia of Normal_61.jpg','Literal Tibia of Normal_62.jpg','Literal Tibia of Normal_63.jpg','Literal Tibia of Normal_7.jpg','Literal Tibia of Normal_8.jpg','Literal Tibia of Normal_9.jpg','Literal Tibia of OA_1.jpg','Literal Tibia of OA_10.jpg','Literal Tibia of OA_11.jpg','Literal Tibia of OA_12.jpg','Literal Tibia of OA_13.jpg','Literal Tibia of OA_14.jpg','Literal Tibia of OA_15.jpg','Literal Tibia of OA_16.jpg','Literal Tibia of OA_17.jpg','Literal Tibia of OA_18.jpg','Literal Tibia of OA_19.jpg','Literal Tibia of OA_2.jpg','Literal Tibia of OA_20.jpg','Literal Tibia of OA_21.jpg','Literal Tibia of OA_22.jpg','Literal Tibia of OA_23.jpg','Literal Tibia of OA_24.jpg','Literal Tibia of OA_25.jpg','Literal Tibia of OA_26.jpg','Literal Tibia of OA_27.jpg','Literal Tibia of OA_28.jpg','Literal Tibia of OA_29.jpg','Literal Tibia of OA_3.jpg','Literal Tibia of OA_30.jpg','Literal Tibia of OA_31.jpg','Literal Tibia of OA_32.jpg','Literal Tibia of OA_33.jpg','Literal Tibia of OA_34.jpg','Literal Tibia of OA_35.jpg','Literal Tibia of OA_36.jpg','Literal Tibia of OA_37.jpg','Literal Tibia of OA_38.jpg','Literal Tibia of OA_39.jpg','Literal Tibia of OA_4.jpg','Literal Tibia of OA_40.jpg','Literal Tibia of OA_41.jpg','Literal Tibia of OA_42.jpg','Literal Tibia of OA_43.jpg','Literal Tibia of OA_44.jpg','Literal Tibia of OA_45.jpg','Literal Tibia of OA_46.jpg','Literal Tibia of OA_47.jpg','Literal Tibia of OA_48.jpg','Literal Tibia of OA_49.jpg','Literal Tibia of OA_5.jpg','Literal Tibia of OA_50.jpg','Literal Tibia of OA_51.jpg','Literal Tibia of OA_52.jpg','Literal Tibia of OA_53.jpg','Literal Tibia of OA_54.jpg','Literal Tibia of OA_55.jpg','Literal Tibia of OA_56.jpg','Literal Tibia of OA_57.jpg','Literal Tibia of OA_58.jpg','Literal Tibia of OA_59.jpg','Literal Tibia of OA_6.jpg','Literal Tibia of OA_60.jpg','Literal Tibia of OA_61.jpg','Literal Tibia of OA_62.jpg','Literal Tibia of OA_63.jpg','Literal Tibia of OA_64.jpg','Literal Tibia of OA_65.jpg','Literal Tibia of OA_66.jpg','Literal Tibia of OA_67.jpg','Literal Tibia of OA_68.jpg','Literal Tibia of OA_7.jpg','Literal Tibia of OA_8.jpg','Literal Tibia of OA_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {Nor,OA}

@data
'Literal Tibia of Normal_22.jpg',0.0796,0.00271,0.0378,0.00392,0.0706,0.0699,0.00382,0.0115,0.00489,0.00316,0.136,0.00314,0.0234,0.00136,0.0321,0.187,0.00432,0.075,0.00526,0.0376,0.157,0.00387,0.0325,0.00326,0.0102,0.0919,0.00293,0.0122,0.00306,0.0048,0.0764,0.00293,0.0331,0.00274,0.0546,0.0418,0.0609,0.1,Nor
'Literal Tibia of Normal_23.jpg',0.0753,0.00125,0.0303,0.000905,0.0686,0.0687,0.000627,0.00385,0.00279,0.00303,0.139,0.000883,0.0121,0.00322,0.0531,0.17,0.00195,0.0548,0.00812,0.00616,0.15,0.0027,0.0328,0.000464,0.00677,0.0989,0.00468,0.00905,0.00168,0.00475,0.0777,0.00281,0.0237,0.00298,0.0488,0.0404,0.0676,0.112,Nor
'Literal Tibia of Normal_24.jpg',0.0683,0.000411,0.0219,0.00188,0.0592,0.0739,0.00271,0.00521,0.000644,0.00242,0.138,0.00323,0.0165,0.00458,0.0352,0.203,0.00948,0.0613,0.00224,0.00566,0.17,0.00241,0.0265,0.00355,0.00808,0.0897,0.0035,0.00978,0.00584,0.00343,0.0665,0.00271,0.0186,0.00289,0.0451,0.0396,0.0541,0.0966,Nor
'Literal Tibia of Normal_25.jpg',0.0683,0.00597,0.0267,0.00552,0.0627,0.0673,0.00296,0.000721,0.00379,0.000204,0.143,0.00241,0.0163,0.00099,0.0451,0.197,0.00718,0.0669,0.00411,0.0375,0.163,0.00197,0.0341,0.0025,0.0143,0.097,0.00203,0.00888,0.00382,0.00235,0.0684,0.00536,0.0181,0.00306,0.0463,0.037,0.0612,0.0969,Nor
'Literal Tibia of Normal_26.jpg',0.0793,0.000826,0.0248,0.0011,0.0699,0.0744,0.00155,0.00653,0.00217,0.000714,0.133,0.00328,0.0156,0.00462,0.035,0.17,0.00137,0.0496,0.00287,0.00265,0.154,0.00406,0.0274,0.00333,0.00378,0.1,0.00146,0.0094,0.00434,0.00316,0.0743,0.000939,0.0235,0.00244,0.0486,0.0443,0.0631,0.108,Nor
'Literal Tibia of Normal_27.jpg',0.0758,0.00265,0.0171,0.00329,0.0687,0.0677,0.000766,0.00263,0.00378,0.00102,0.138,0.00196,0.0118,0.000944,0.0481,0.163,0.011,0.0372,0.00544,0.00245,0.155,0.00736,0.0189,0.00508,0.0178,0.103,0.00287,0.00228,0.00183,0.00306,0.0775,0.00292,0.0165,0.00614,0.0465,0.0403,0.0708,0.109,Nor
'Literal Tibia of Normal_28.jpg',0.0775,0.00382,0.0307,0.00348,0.0671,0.07,0.00108,0.00541,0.00174,0,0.135,0.00797,0.0183,0.00219,0.0361,0.192,0.00792,0.0645,0.00493,0.00357,0.164,0.00662,0.0311,0.00351,0.0123,0.0959,0.00537,0.0126,0.00253,0.00163,0.0694,0.000717,0.0266,0.000993,0.049,0.0391,0.0596,0.0979,Nor
'Literal Tibia of Normal_29.jpg',0.0724,0.00232,0.0324,0.00259,0.0639,0.0701,0.00269,0.0118,0.00192,0.000306,0.148,0.00513,0.0219,0.00572,0.0404,0.179,0.00212,0.0634,0.0138,0.017,0.162,0.0042,0.03,0.00129,0.00673,0.101,0.0019,0.0146,0.00216,0.00429,0.0701,0.00288,0.0277,0.00164,0.0415,0.0387,0.0609,0.0969,Nor
'Literal Tibia of Normal_3.jpg',0.104,0.00645,0.0586,0.00573,0.0944,0.07,0.00273,0.00808,0.00255,0.00253,0.11,0.00379,0.0135,0.00167,0.0389,0.133,0.00223,0.0449,0.00623,0.00162,0.117,0.00328,0.0189,0.000605,0.0104,0.0905,0.00345,0.0123,0.00136,0.00263,0.101,0.00338,0.053,0.00697,0.07,0.0545,0.0856,0.135,Nor
'Literal Tibia of Normal_30.jpg',0.0723,0.00246,0.0202,0.00265,0.066,0.0702,0.00087,0.00773,0.00338,0.00388,0.14,0.00406,0.0148,0.000146,0.039,0.194,0.00665,0.0485,0.00147,0.00204,0.167,0.00339,0.028,0.00327,0.0162,0.105,0.00431,0.00694,0.000493,0.00357,0.0659,0.00189,0.019,0.00234,0.0451,0.0384,0.056,0.0911,Nor
'Literal Tibia of Normal_31.jpg',0.073,0.000686,0.0296,0.00161,0.0658,0.0667,0.00343,0.00865,0.0036,0.00224,0.138,0.0058,0.0183,0.00452,0.0406,0.203,0.00573,0.0735,0.00373,0.015,0.164,0.00299,0.0348,0.00323,0.0159,0.0969,0.00276,0.0121,0.004,0.000816,0.0707,0.00245,0.0278,0.00188,0.0448,0.0363,0.0567,0.0947,Nor
'Literal Tibia of Normal_32.jpg',0.0694,0.00399,0.0257,0.00364,0.0645,0.0582,0.00132,0.00416,0.0014,0.00122,0.14,0.000615,0.0193,0.00244,0.0515,0.183,0.00832,0.0627,0.00236,0.00051,0.171,0.00334,0.0364,0.00712,0.0267,0.107,0.00299,0.00314,0.00069,0.00133,0.0681,0.00207,0.0163,0.00342,0.0389,0.0355,0.0661,0.102,Nor
'Literal Tibia of Normal_33.jpg',0.0638,0.00247,0.0158,0.00299,0.0579,0.069,0.00129,0.00771,0.00207,0.00347,0.144,0.012,0.0156,0.00684,0.051,0.199,0.00891,0.0588,0.00473,0.00673,0.166,0.00379,0.0272,0.00494,0.013,0.0992,0.00139,0.00785,0.00341,0.00449,0.0683,0.00277,0.0171,0.00243,0.0415,0.0347,0.0602,0.0957,Nor
'Literal Tibia of Normal_34.jpg',0.0728,0.00369,0.0226,0.00363,0.0647,0.0724,0.00117,0.00558,0.00263,0.00245,0.137,0.00357,0.0183,0.00265,0.0522,0.19,0.00283,0.0578,0.00539,0.0282,0.161,0.0034,0.0251,0.00327,0.000612,0.1,0.000593,0.00361,0.00512,0.00633,0.0747,0.00446,0.0184,0.00216,0.0453,0.0393,0.0567,0.0957,Nor
'Literal Tibia of Normal_35.jpg',0.0743,0.00221,0.0262,0.0028,0.0655,0.0754,0.00402,0.00225,0.00191,0.00275,0.142,0.00331,0.0157,0.0033,0.0347,0.171,0.00343,0.0423,0.00286,0.00969,0.158,0.00208,0.0254,0.00363,0.00918,0.0983,0.00552,0.00653,0.00473,0.00153,0.0711,0.00316,0.0121,0.0039,0.045,0.044,0.0623,0.104,Nor
'Literal Tibia of Normal_36.jpg',0.0708,0.00229,0.0268,0.00114,0.06,0.0687,0.000842,0.00469,0.00243,0.00112,0.14,0.00769,0.0115,0.00385,0.0463,0.205,0.00887,0.0614,0.00516,0.00051,0.168,0.00364,0.023,0.00407,0.00153,0.101,0.00206,0.0114,0.00409,0.000306,0.0647,0.00358,0.0226,0.00151,0.0408,0.0372,0.0549,0.0906,Nor
'Literal Tibia of Normal_37.jpg',0.0809,0.00281,0.0332,0.00172,0.0752,0.0658,0.00315,0.00618,0.00202,0.00112,0.136,0.000859,0.0189,0.00387,0.0445,0.19,0.00418,0.0676,0.014,0.0269,0.15,0.00186,0.0372,0.00371,0.0171,0.0932,0.00311,0.00642,0.00217,0.00235,0.0772,0.00175,0.0314,0.000731,0.053,0.0397,0.064,0.103,Nor
'Literal Tibia of Normal_38.jpg',0.0703,0.00296,0.0198,0.00446,0.0619,0.0707,0.00213,0.00558,0.00345,0.000918,0.142,0.00602,0.0187,0.00161,0.0386,0.187,0.0039,0.0541,0.00388,0.0115,0.162,0.00554,0.0329,0.00394,0.0125,0.0963,0.00296,0.00777,0.00195,0.00163,0.0677,0.0021,0.0174,0.00102,0.0435,0.0412,0.0629,0.1,Nor
'Literal Tibia of Normal_39.jpg',0.0712,0.00189,0.0133,0.00201,0.0647,0.0701,0.00146,0.00139,0.0014,0.00255,0.137,0.00599,0.0094,0.002,0.0549,0.183,0.00409,0.0408,0.00398,0.0104,0.166,0.00558,0.0239,0.00689,0.0211,0.1,0.00599,0.00481,0.00174,0.00255,0.0724,0.000988,0.0118,0.00181,0.048,0.0334,0.0676,0.0984,Nor
'Literal Tibia of Normal_4.jpg',0.0809,0.000762,0.0306,0.000723,0.0758,0.0555,0.00171,0.00645,0.00195,0.000408,0.131,0.00357,0.00838,0.00203,0.0577,0.169,0.00208,0.0383,0.00865,0.00673,0.154,0.00294,0.0242,0.00195,0.0335,0.107,0.0013,0.00839,0.00124,0.000714,0.0849,0.00242,0.0282,0.00144,0.0498,0.0352,0.0752,0.107,Nor
'Literal Tibia of Normal_40.jpg',0.0725,0.00336,0.0231,0.00226,0.067,0.0667,0.00111,0.00453,0.00287,0.000408,0.138,0.00259,0.0169,0.00555,0.0378,0.192,0.00581,0.0575,0.00259,0.0279,0.161,0.000811,0.0347,0.00375,0.0157,0.106,0.0027,0.0109,0.00506,0.00122,0.0687,0.00309,0.0207,0.00325,0.0403,0.0378,0.0591,0.0981,Nor
'Literal Tibia of Normal_41.jpg',0.0697,0.00189,0.0136,0.00187,0.0619,0.075,0.00167,0.00397,0.00342,0.00112,0.142,0.00374,0.0123,0.00361,0.0488,0.181,0.009,0.036,0.0035,0.015,0.163,0.00569,0.017,0.00302,0.0178,0.0999,0.00449,0.00139,0.00255,0.00378,0.0683,0.00158,0.0146,0.00349,0.0413,0.0385,0.0618,0.101,Nor
'Literal Tibia of Normal_42.jpg',0.0634,0.00493,0.00725,0.00305,0.0544,0.073,0.000549,0.00125,0.00114,0.00173,0.153,0.000993,0.00645,0.000717,0.0449,0.189,0.00907,0.0254,0.0106,0.0151,0.171,0.00153,0.0124,0.00383,0.0164,0.0951,0.0022,0.00512,0.00277,0.00367,0.064,0.00241,0.00126,0.00257,0.0389,0.0372,0.0599,0.0944,Nor
'Literal Tibia of Normal_43.jpg',0.0706,0.00163,0.0285,0.0011,0.0618,0.0691,0.00455,0.00871,0.000794,0.00112,0.139,0.0056,0.0217,0.000655,0.033,0.2,0.00534,0.0757,0.00375,0.0331,0.163,0.0048,0.0355,0.00313,0.0141,0.0969,0.00225,0.00895,0.00194,0.00429,0.0664,0.000555,0.0242,0.00328,0.0444,0.0397,0.0595,0.0967,Nor
