File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Literal Femur of Normal_32.jpg,6.23E+00,1.50E+00,-6.41E-01,3.07E+00,2.49E-01,1.56E+00,Nor
Literal Femur of Normal_33.jpg,6.40E+00,1.09E+00,-8.20E-01,4.21E+00,2.99E-01,1.41E+00,Nor
Literal Femur of Normal_34.jpg,6.17E+00,1.35E+00,-5.51E-01,3.47E+00,2.52E-01,1.54E+00,Nor
Literal Femur of Normal_35.jpg,6.63E+00,1.58E+00,-1.07E+00,3.91E+00,2.70E-01,1.51E+00,Nor
Literal Femur of Normal_36.jpg,5.95E+00,1.50E+00,-7.28E-01,3.47E+00,2.47E-01,1.57E+00,Nor
Literal Femur of Normal_37.jpg,5.54E+00,1.11E+00,4.80E-03,3.13E+00,2.69E-01,1.47E+00,Nor
Literal Femur of Normal_38.jpg,5.84E+00,1.57E+00,-7.00E-01,3.42E+00,2.41E-01,1.60E+00,Nor
Literal Femur of Normal_39.jpg,5.53E+00,1.77E+00,-3.57E-01,2.59E+00,2.11E-01,1.68E+00,Nor
Literal Femur of Normal_4.jpg,6.19E+00,1.18E+00,-8.16E-01,3.89E+00,2.85E-01,1.44E+00,Nor
Literal Femur of Normal_40.jpg,5.60E+00,1.54E+00,-5.69E-01,2.96E+00,2.36E-01,1.59E+00,Nor
Literal Femur of Normal_41.jpg,5.35E+00,1.20E+00,-1.58E-01,3.05E+00,2.60E-01,1.50E+00,Nor
Literal Femur of Normal_42.jpg,6.59E+00,1.46E+00,-9.22E-01,3.76E+00,2.66E-01,1.52E+00,Nor
Literal Femur of Normal_43.jpg,5.92E+00,1.86E+00,-4.31E-01,2.61E+00,2.10E-01,1.69E+00,Nor
Literal Femur of Normal_44.jpg,6.55E+00,9.44E-01,-3.24E-01,3.20E+00,2.91E-01,1.38E+00,Nor
Literal Femur of Normal_45.jpg,5.66E+00,1.76E+00,-4.02E-01,2.73E+00,2.13E-01,1.68E+00,Nor
Literal Femur of Normal_46.jpg,5.96E+00,1.08E+00,-6.52E-01,3.80E+00,2.90E-01,1.42E+00,Nor
Literal Femur of Normal_47.jpg,5.88E+00,1.13E+00,-1.82E-01,3.05E+00,2.66E-01,1.48E+00,Nor
Literal Femur of Normal_48.jpg,5.94E+00,1.11E+00,-3.38E-01,3.45E+00,2.77E-01,1.46E+00,Nor
Literal Femur of Normal_49.jpg,6.13E+00,1.64E+00,-8.78E-01,3.78E+00,2.47E-01,1.59E+00,Nor
Literal Femur of Normal_5.jpg,4.46E+00,1.14E+00,-2.70E-01,3.01E+00,2.67E-01,1.47E+00,Nor
Literal Femur of Normal_50.jpg,6.12E+00,1.12E+00,-8.02E-01,4.14E+00,2.94E-01,1.42E+00,Nor
Literal Femur of Normal_51.jpg,5.77E+00,1.30E+00,-3.49E-01,3.25E+00,2.53E-01,1.54E+00,Nor
Literal Femur of Normal_52.jpg,5.73E+00,1.23E+00,-4.84E-01,3.41E+00,2.67E-01,1.50E+00,Nor
Literal Femur of Normal_53.jpg,5.53E+00,1.76E+00,-3.39E-01,2.52E+00,2.12E-01,1.67E+00,Nor
Literal Femur of Normal_54.jpg,6.28E+00,1.54E+00,-7.12E-01,3.53E+00,2.41E-01,1.59E+00,Nor
Literal Femur of Normal_55.jpg,3.53E+00,4.08E-01,-1.46E-01,4.26E+00,4.38E-01,NaN,Nor
Literal Femur of Normal_56.jpg,6.03E+00,9.70E-01,-3.80E-01,3.62E+00,2.98E-01,1.39E+00,Nor
Literal Femur of Normal_57.jpg,5.17E+00,1.27E+00,-1.44E-01,3.11E+00,2.55E-01,1.54E+00,Nor
Literal Femur of Normal_58.jpg,6.30E+00,1.55E+00,-1.05E+00,3.96E+00,2.79E-01,1.52E+00,Nor
Literal Femur of Normal_59.jpg,5.27E+00,1.32E+00,-6.63E-02,3.14E+00,2.48E-01,1.55E+00,Nor
Literal Femur of Normal_6.jpg,6.09E+00,1.13E+00,-5.77E-01,3.46E+00,2.77E-01,1.45E+00,Nor
Literal Femur of Normal_60.jpg,5.27E+00,1.57E+00,-2.32E-01,2.65E+00,2.22E-01,1.63E+00,Nor
Literal Femur of Normal_61.jpg,6.12E+00,2.25E+00,-9.12E-01,3.05E+00,2.44E-01,1.65E+00,Nor
Literal Femur of Normal_62.jpg,5.94E+00,2.17E+00,-5.87E-01,2.61E+00,2.09E-01,1.72E+00,Nor
Literal Femur of Normal_63.jpg,5.03E+00,1.34E+00,-2.25E-02,2.83E+00,2.41E-01,1.56E+00,Nor
Literal Femur of Normal_7.jpg,5.75E+00,1.19E+00,-6.19E-01,3.21E+00,2.72E-01,1.47E+00,Nor
Literal Femur of Normal_8.jpg,6.25E+00,1.55E+00,-8.09E-01,3.58E+00,2.53E-01,1.57E+00,Nor
Literal Femur of Normal_9.jpg,6.06E+00,1.62E+00,-6.64E-01,3.20E+00,2.35E-01,1.61E+00,Nor
Literal Femur of OA_1.jpg,5.62E+00,1.00E+00,-2.17E-01,3.08E+00,2.81E-01,1.42E+00,OA
Literal Femur of OA_10.jpg,5.41E+00,1.70E+00,-3.39E-01,2.78E+00,2.16E-01,1.67E+00,OA
Literal Femur of OA_11.jpg,5.75E+00,1.47E+00,-3.19E-01,2.98E+00,2.35E-01,1.60E+00,OA
Literal Femur of OA_12.jpg,5.07E+00,1.64E+00,-2.72E-02,2.93E+00,2.20E-01,1.67E+00,OA
Literal Femur of OA_13.jpg,5.42E+00,1.38E+00,-3.41E-01,2.86E+00,2.41E-01,1.56E+00,OA
Literal Femur of OA_14.jpg,4.99E+00,1.50E+00,-1.88E-01,2.70E+00,2.28E-01,1.61E+00,OA
Literal Femur of OA_15.jpg,6.45E+00,1.01E+00,-9.63E-01,4.73E+00,3.18E-01,1.36E+00,OA
Literal Femur of OA_16.jpg,6.23E+00,2.11E+00,-5.41E-01,2.66E+00,1.98E-01,1.73E+00,OA
Literal Femur of OA_17.jpg,4.62E+00,1.28E+00,3.89E-01,3.20E+00,2.56E-01,1.53E+00,OA
Literal Femur of OA_18.jpg,4.82E+00,1.35E+00,1.79E-01,2.93E+00,2.43E-01,1.56E+00,OA
Literal Femur of OA_19.jpg,5.58E+00,1.21E+00,-2.37E-01,2.96E+00,2.57E-01,1.51E+00,OA
Literal Femur of OA_2.jpg,5.08E+00,9.25E-01,-2.08E-01,3.41E+00,2.99E-01,1.37E+00,OA
Literal Femur of OA_20.jpg,4.74E+00,1.67E+00,1.36E-01,2.54E+00,2.13E-01,1.66E+00,OA
Literal Femur of OA_21.jpg,4.88E+00,2.16E+00,-1.56E-01,2.17E+00,1.87E-01,1.76E+00,OA
Literal Femur of OA_22.jpg,5.78E+00,1.66E+00,-4.79E-01,2.89E+00,2.24E-01,1.64E+00,OA
Literal Femur of OA_23.jpg,5.12E+00,1.09E+00,-1.90E-01,2.96E+00,2.68E-01,1.46E+00,OA
Literal Femur of OA_24.jpg,5.48E+00,1.44E+00,-1.91E-01,2.77E+00,2.33E-01,1.59E+00,OA
Literal Femur of OA_25.jpg,5.34E+00,1.62E+00,-2.20E-01,2.82E+00,2.19E-01,1.65E+00,OA
Literal Femur of OA_26.jpg,4.72E+00,1.27E+00,1.41E-01,2.90E+00,2.48E-01,1.53E+00,OA
Literal Femur of OA_27.jpg,4.49E+00,1.10E+00,2.70E-01,3.01E+00,2.68E-01,1.46E+00,OA
Literal Femur of OA_28.jpg,6.00E+00,1.53E+00,-4.16E-01,2.76E+00,2.29E-01,1.60E+00,OA
Literal Femur of OA_29.jpg,4.92E+00,1.37E+00,8.83E-02,2.80E+00,2.37E-01,1.58E+00,OA
Literal Femur of OA_3.jpg,5.59E+00,1.24E+00,-2.95E-01,3.02E+00,2.54E-01,1.52E+00,OA
Literal Femur of OA_30.jpg,4.33E+00,1.23E+00,3.46E-01,3.18E+00,2.61E-01,1.51E+00,OA
Literal Femur of OA_31.jpg,5.51E+00,1.23E+00,-3.03E-01,3.30E+00,2.60E-01,1.52E+00,OA
Literal Femur of OA_32.jpg,5.27E+00,1.69E+00,-2.67E-01,2.92E+00,2.18E-01,1.67E+00,OA
Literal Femur of OA_33.jpg,5.83E+00,1.08E+00,-4.40E-01,3.53E+00,2.86E-01,1.44E+00,OA
Literal Femur of OA_34.jpg,5.57E+00,1.16E+00,-1.55E-02,2.69E+00,2.56E-01,1.49E+00,OA
Literal Femur of OA_35.jpg,6.12E+00,1.35E+00,-7.05E-01,3.76E+00,2.58E-01,1.53E+00,OA
Literal Femur of OA_36.jpg,5.21E+00,1.26E+00,-1.89E-01,3.33E+00,2.57E-01,1.53E+00,OA
Literal Femur of OA_37.jpg,4.58E+00,9.49E-01,1.61E-01,3.14E+00,2.92E-01,1.39E+00,OA
Literal Femur of OA_38.jpg,4.99E+00,1.60E+00,-2.29E-01,2.57E+00,2.18E-01,1.64E+00,OA
Literal Femur of OA_39.jpg,5.06E+00,1.48E+00,-1.09E-01,3.01E+00,2.35E-01,1.61E+00,OA
Literal Femur of OA_4.jpg,5.91E+00,1.87E+00,-3.91E-01,2.65E+00,2.06E-01,1.70E+00,OA
Literal Femur of OA_40.jpg,4.73E+00,1.15E+00,-8.20E-02,3.34E+00,2.74E-01,1.48E+00,OA
Literal Femur of OA_41.jpg,5.21E+00,1.80E+00,-3.12E-01,2.86E+00,2.11E-01,1.70E+00,OA
Literal Femur of OA_42.jpg,5.55E+00,1.09E+00,-2.72E-01,3.21E+00,2.75E-01,1.46E+00,OA
Literal Femur of OA_43.jpg,4.95E+00,1.27E+00,1.31E-01,2.79E+00,2.47E-01,1.54E+00,OA
Literal Femur of OA_44.jpg,6.03E+00,1.32E+00,-5.48E-01,3.37E+00,2.55E-01,1.53E+00,OA
Literal Femur of OA_45.jpg,5.41E+00,1.14E+00,-3.97E-01,3.69E+00,2.77E-01,1.47E+00,OA
Literal Femur of OA_46.jpg,5.00E+00,1.55E+00,1.44E-01,2.89E+00,2.26E-01,1.63E+00,OA
Literal Femur of OA_47.jpg,5.02E+00,1.37E+00,-8.88E-02,2.64E+00,2.35E-01,1.57E+00,OA
Literal Femur of OA_48.jpg,5.53E+00,1.47E+00,8.34E-03,2.82E+00,2.30E-01,1.61E+00,OA
Literal Femur of OA_49.jpg,3.22E+00,4.25E-01,6.39E-02,3.76E+00,4.36E-01,NaN,OA
Literal Femur of OA_5.jpg,5.66E+00,1.25E+00,-7.20E-01,3.77E+00,2.79E-01,1.48E+00,OA
Literal Femur of OA_50.jpg,5.70E+00,1.28E+00,-1.83E-01,2.98E+00,2.49E-01,1.54E+00,OA
Literal Femur of OA_51.jpg,5.73E+00,1.18E+00,-4.72E-01,3.22E+00,2.68E-01,1.48E+00,OA
Literal Femur of OA_52.jpg,5.74E+00,2.72E+00,-7.91E-02,2.07E+00,1.73E-01,1.84E+00,OA
Literal Femur of OA_53.jpg,5.15E+00,1.17E+00,-2.33E-01,2.89E+00,2.59E-01,1.49E+00,OA
Literal Femur of OA_54.jpg,4.65E+00,9.19E-01,-3.16E-01,3.00E+00,2.94E-01,1.36E+00,OA
Literal Femur of OA_55.jpg,5.41E+00,1.33E+00,-3.46E-01,3.23E+00,2.49E-01,1.55E+00,OA
Literal Femur of OA_56.jpg,4.42E+00,1.21E+00,2.13E-01,3.08E+00,2.59E-01,1.51E+00,OA
Literal Femur of OA_57.jpg,4.98E+00,1.30E+00,-5.08E-03,2.86E+00,2.45E-01,1.55E+00,OA
Literal Femur of OA_58.jpg,5.22E+00,1.17E+00,-1.52E-01,2.84E+00,2.58E-01,1.49E+00,OA
Literal Femur of OA_59.jpg,5.26E+00,1.32E+00,-3.43E-01,3.19E+00,2.53E-01,1.55E+00,OA
Literal Femur of OA_6.jpg,5.23E+00,1.39E+00,-1.72E-01,2.82E+00,2.36E-01,1.58E+00,OA
Literal Femur of OA_60.jpg,5.78E+00,1.85E+00,-5.80E-01,2.83E+00,2.23E-01,1.66E+00,OA
Literal Femur of OA_61.jpg,5.59E+00,1.01E+00,-2.92E-01,3.46E+00,2.92E-01,1.41E+00,OA
Literal Femur of OA_62.jpg,5.92E+00,1.50E+00,-3.85E-01,3.19E+00,2.34E-01,1.61E+00,OA
Literal Femur of OA_63.jpg,5.48E+00,1.52E+00,-1.16E-01,2.72E+00,2.25E-01,1.62E+00,OA
Literal Femur of OA_64.jpg,5.75E+00,1.27E+00,-4.73E-01,3.33E+00,2.57E-01,1.52E+00,OA
Literal Femur of OA_65.jpg,4.78E+00,1.12E+00,3.71E-02,3.12E+00,2.68E-01,1.48E+00,OA
Literal Femur of OA_66.jpg,5.90E+00,9.32E-01,-5.02E-01,3.74E+00,3.10E-01,1.36E+00,OA
Literal Femur of OA_67.jpg,5.51E+00,1.28E+00,-3.40E-01,3.10E+00,2.53E-01,1.53E+00,OA
Literal Femur of OA_68.jpg,5.08E+00,1.48E+00,-1.95E-01,2.88E+00,2.30E-01,1.61E+00,OA
Literal Femur of OA_7.jpg,6.19E+00,1.08E+00,-3.10E-01,3.01E+00,2.71E-01,1.45E+00,OA
Literal Femur of OA_8.jpg,5.73E+00,1.13E+00,-7.15E-02,2.93E+00,2.64E-01,1.48E+00,OA
Literal Femur of OA_9.jpg,5.49E+00,2.28E+00,-3.17E-01,2.39E+00,1.86E-01,1.79E+00,OA
