File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Femur of OA_18.jpg,5.14E+00,1.78E+00,-3.62E-01,2.84E+00,2.13E-01,1.69E+00,OA
Medial Femur of OA_19.jpg,5.46E+00,1.94E+00,-2.84E-01,2.59E+00,1.99E-01,1.73E+00,OA
Medial Femur of OA_2.jpg,5.25E+00,1.39E+00,3.55E-02,3.28E+00,2.46E-01,1.58E+00,OA
Medial Femur of OA_20.jpg,4.67E+00,1.62E+00,2.47E-01,2.90E+00,2.21E-01,1.65E+00,OA
Medial Femur of OA_21.jpg,5.06E+00,1.07E+00,-1.38E-01,3.34E+00,2.82E-01,1.45E+00,OA
Medial Femur of OA_22.jpg,4.76E+00,1.25E+00,6.77E-02,3.24E+00,2.58E-01,1.53E+00,OA
Medial Femur of OA_23.jpg,5.45E+00,1.11E+00,-1.63E-01,3.13E+00,2.72E-01,1.47E+00,OA
Medial Femur of OA_24.jpg,5.52E+00,1.46E+00,-4.15E-01,3.02E+00,2.40E-01,1.59E+00,OA
Medial Femur of OA_25.jpg,4.67E+00,1.90E+00,1.93E-02,2.49E+00,1.99E-01,1.73E+00,OA
Medial Femur of OA_26.jpg,4.91E+00,1.41E+00,1.04E-01,2.99E+00,2.38E-01,1.59E+00,OA
Medial Femur of OA_27.jpg,5.04E+00,1.47E+00,8.37E-02,2.60E+00,2.27E-01,1.60E+00,OA
Medial Femur of OA_28.jpg,5.01E+00,1.14E+00,-1.70E-01,3.10E+00,2.69E-01,1.48E+00,OA
Medial Femur of OA_29.jpg,5.75E+00,1.79E+00,-5.02E-01,3.09E+00,2.16E-01,1.68E+00,OA
Medial Femur of OA_3.jpg,5.10E+00,1.52E+00,1.57E-01,2.83E+00,2.28E-01,1.62E+00,OA
Medial Femur of OA_30.jpg,4.67E+00,1.86E+00,2.48E-01,2.54E+00,2.03E-01,1.71E+00,OA
Medial Femur of OA_31.jpg,5.03E+00,1.38E+00,-7.65E-02,3.07E+00,2.46E-01,1.58E+00,OA
Medial Femur of OA_32.jpg,5.74E+00,1.45E+00,-5.62E-01,3.49E+00,2.49E-01,1.58E+00,OA
Medial Femur of OA_33.jpg,5.89E+00,1.66E+00,-3.96E-01,2.94E+00,2.19E-01,1.65E+00,OA
Medial Femur of OA_34.jpg,4.92E+00,1.49E+00,-1.71E-01,2.82E+00,2.30E-01,1.61E+00,OA
Medial Femur of OA_35.jpg,5.37E+00,1.28E+00,-4.65E-01,3.38E+00,2.60E-01,1.52E+00,OA
Medial Femur of OA_36.jpg,5.03E+00,1.65E+00,-2.49E-02,2.85E+00,2.19E-01,1.67E+00,OA
Medial Femur of OA_37.jpg,4.97E+00,1.40E+00,-1.36E-02,3.03E+00,2.41E-01,1.59E+00,OA
Medial Femur of OA_38.jpg,5.06E+00,1.63E+00,-4.67E-02,2.76E+00,2.17E-01,1.66E+00,OA
Medial Femur of OA_39.jpg,5.38E+00,1.80E+00,-4.01E-01,2.81E+00,2.16E-01,1.69E+00,OA
Medial Femur of OA_4.jpg,5.59E+00,1.95E+00,-3.84E-01,2.61E+00,2.02E-01,1.72E+00,OA
Medial Femur of OA_40.jpg,5.27E+00,1.13E+00,-9.27E-02,3.05E+00,2.67E-01,1.48E+00,OA
Medial Femur of OA_41.jpg,5.42E+00,1.36E+00,-5.60E-01,3.49E+00,2.60E-01,1.54E+00,OA
Medial Femur of OA_42.jpg,5.10E+00,1.85E+00,-1.50E-01,2.71E+00,2.05E-01,1.72E+00,OA
Medial Femur of OA_43.jpg,5.82E+00,1.56E+00,-6.90E-01,3.42E+00,2.46E-01,1.59E+00,OA
Medial Femur of OA_44.jpg,5.30E+00,1.94E+00,-1.49E-01,2.51E+00,1.97E-01,1.74E+00,OA
Medial Femur of OA_45.jpg,5.31E+00,2.48E+00,-2.11E-01,2.21E+00,1.75E-01,1.83E+00,OA
Medial Femur of OA_46.jpg,5.59E+00,1.80E+00,-3.32E-01,2.69E+00,2.08E-01,1.69E+00,OA
Medial Femur of OA_47.jpg,5.55E+00,2.04E+00,-4.75E-01,2.48E+00,2.09E-01,1.71E+00,OA
Medial Femur of OA_48.jpg,5.23E+00,1.94E+00,-2.29E-01,2.64E+00,2.00E-01,1.74E+00,OA
Medial Femur of OA_49.jpg,5.22E+00,2.39E+00,-8.32E-02,2.19E+00,1.75E-01,1.82E+00,OA
Medial Femur of OA_5.jpg,5.71E+00,2.72E+00,-4.95E-01,2.27E+00,1.84E-01,1.81E+00,OA
Medial Femur of OA_50.jpg,6.25E+00,1.95E+00,-5.91E-01,2.89E+00,2.09E-01,1.69E+00,OA
Medial Femur of OA_51.jpg,5.60E+00,1.26E+00,-4.00E-01,3.04E+00,2.54E-01,1.52E+00,OA
Medial Femur of OA_52.jpg,5.85E+00,2.95E+00,-5.74E-01,2.53E+00,1.74E-01,1.87E+00,OA
Medial Femur of OA_53.jpg,5.45E+00,1.38E+00,-2.64E-01,2.95E+00,2.41E-01,1.57E+00,OA
Medial Femur of OA_54.jpg,6.03E+00,1.54E+00,-5.67E-01,3.23E+00,2.35E-01,1.60E+00,OA
Medial Femur of OA_55.jpg,4.95E+00,1.67E+00,-7.96E-02,2.69E+00,2.14E-01,1.67E+00,OA
Medial Femur of OA_56.jpg,5.59E+00,1.76E+00,-5.37E-01,3.05E+00,2.19E-01,1.67E+00,OA
Medial Femur of OA_57.jpg,4.79E+00,1.33E+00,-4.73E-01,3.17E+00,2.57E-01,1.53E+00,OA
Medial Femur of OA_58.jpg,4.54E+00,1.35E+00,1.28E-01,2.74E+00,2.38E-01,1.56E+00,OA
Medial Femur of OA_59.jpg,5.00E+00,1.64E+00,-3.23E-01,2.84E+00,2.28E-01,1.64E+00,OA
Medial Femur of OA_6.jpg,4.83E+00,1.54E+00,-1.27E-02,2.93E+00,2.28E-01,1.63E+00,OA
Medial Femur of OA_60.jpg,5.35E+00,1.36E+00,-1.99E-01,3.05E+00,2.44E-01,1.57E+00,OA
Medial Femur of OA_61.jpg,5.56E+00,1.43E+00,-2.05E-01,2.93E+00,2.36E-01,1.59E+00,OA
Medial Femur of OA_62.jpg,5.63E+00,1.55E+00,-3.19E-01,2.79E+00,2.25E-01,1.62E+00,OA
Medial Femur of OA_63.jpg,4.77E+00,1.47E+00,-2.87E-02,2.98E+00,2.37E-01,1.61E+00,OA
Medial Femur of OA_64.jpg,5.37E+00,1.44E+00,-3.21E-01,2.83E+00,2.34E-01,1.59E+00,OA
Medial Femur of OA_65.jpg,5.01E+00,1.60E+00,-1.16E-01,2.69E+00,2.20E-01,1.65E+00,OA
Medial Femur of OA_66.jpg,6.11E+00,1.60E+00,-6.49E-01,3.41E+00,2.36E-01,1.61E+00,OA
Medial Femur of OA_67.jpg,4.39E+00,1.17E+00,7.32E-02,3.30E+00,2.65E-01,1.49E+00,OA
Medial Femur of OA_68.jpg,5.24E+00,2.20E+00,-3.01E-01,2.18E+00,1.95E-01,1.74E+00,OA
Medial Femur of OA_7.jpg,5.49E+00,1.95E+00,-4.39E-01,2.70E+00,2.05E-01,1.72E+00,OA
Medial Femur of OA_8.jpg,5.71E+00,1.24E+00,-3.26E-01,3.08E+00,2.54E-01,1.52E+00,OA
Medial Femur of OA_9.jpg,5.01E+00,1.44E+00,1.65E-01,3.04E+00,2.37E-01,1.60E+00,OA
